image,split,spawned_tubes,visible_labels,visible_pixels
images/test/tube_000000.jpg,test,3,3,2086
images/test/tube_000001.jpg,test,2,2,1459
images/val/tube_000002.jpg,val,1,1,891
images/test/tube_000003.jpg,test,3,3,2407
images/train/tube_000004.jpg,train,3,3,2749
images/train/tube_000005.jpg,train,1,1,813
images/val/tube_000006.jpg,val,2,2,1531
images/train/tube_000007.jpg,train,4,4,3175
images/train/tube_000008.jpg,train,0,0,0
images/val/tube_000009.jpg,val,2,2,1599
images/train/tube_000010.jpg,train,1,1,904
images/test/tube_000011.jpg,test,3,3,2033
images/train/tube_000012.jpg,train,2,2,1814
images/test/tube_000013.jpg,test,0,0,0
images/train/tube_000014.jpg,train,2,2,1789
images/train/tube_000015.jpg,train,3,3,2381
images/train/tube_000016.jpg,train,2,2,1294
images/train/tube_000017.jpg,train,4,4,3739
images/train/tube_000018.jpg,train,2,2,1566
images/train/tube_000019.jpg,train,3,3,2317
images/val/tube_000020.jpg,val,0,0,0
images/train/tube_000021.jpg,train,0,0,0
images/train/tube_000022.jpg,train,1,1,1017
images/train/tube_000023.jpg,train,1,1,937
images/val/tube_000024.jpg,val,4,4,2956
images/train/tube_000025.jpg,train,4,4,3393
images/val/tube_000026.jpg,val,4,4,2940
images/train/tube_000027.jpg,train,3,3,2418
images/test/tube_000028.jpg,test,1,1,844
images/train/tube_000029.jpg,train,0,0,0
images/train/tube_000030.jpg,train,4,4,3090
images/train/tube_000031.jpg,train,2,2,1415
images/train/tube_000032.jpg,train,4,4,3238
images/train/tube_000033.jpg,train,2,2,1498
images/val/tube_000034.jpg,val,2,2,1743
images/test/tube_000035.jpg,test,4,4,3025
images/train/tube_000036.jpg,train,4,4,3265
images/test/tube_000037.jpg,test,4,4,3487
images/train/tube_000038.jpg,train,4,4,3431
images/train/tube_000039.jpg,train,3,3,2242
images/train/tube_000040.jpg,train,1,1,950
images/test/tube_000041.jpg,test,3,3,2215
images/val/tube_000042.jpg,val,1,1,960
images/test/tube_000043.jpg,test,3,3,2281
images/train/tube_000044.jpg,train,2,2,1755
images/train/tube_000045.jpg,train,1,1,883
images/val/tube_000046.jpg,val,0,0,0
images/train/tube_000047.jpg,train,2,2,2018
images/train/tube_000048.jpg,train,0,0,0
images/train/tube_000049.jpg,train,3,3,2529
images/train/tube_000050.jpg,train,1,1,954
images/train/tube_000051.jpg,train,0,0,0
images/test/tube_000052.jpg,test,3,3,2347
images/train/tube_000053.jpg,train,3,3,2579
images/train/tube_000054.jpg,train,1,1,797
images/train/tube_000055.jpg,train,0,0,0
images/train/tube_000056.jpg,train,2,2,1244
images/train/tube_000057.jpg,train,4,4,2909
images/test/tube_000058.jpg,test,1,1,907
images/train/tube_000059.jpg,train,1,1,727
images/train/tube_000060.jpg,train,2,2,1737
images/train/tube_000061.jpg,train,2,2,1458
images/train/tube_000062.jpg,train,1,1,947
images/train/tube_000063.jpg,train,3,3,2495
images/train/tube_000064.jpg,train,2,2,1703
images/val/tube_000065.jpg,val,1,1,763
images/train/tube_000066.jpg,train,1,1,671
images/test/tube_000067.jpg,test,2,2,1858
images/train/tube_000068.jpg,train,4,4,3365
images/train/tube_000069.jpg,train,4,4,3249
images/train/tube_000070.jpg,train,1,1,815
images/train/tube_000071.jpg,train,4,4,3158
images/train/tube_000072.jpg,train,2,2,1930
images/val/tube_000073.jpg,val,3,3,2488
images/train/tube_000074.jpg,train,3,3,2212
images/train/tube_000075.jpg,train,2,2,1817
images/train/tube_000076.jpg,train,3,3,1939
images/train/tube_000077.jpg,train,3,3,2626
images/train/tube_000078.jpg,train,3,3,2259
