image,split,spawned_tubes,visible_labels,visible_pixels
images/val/tube_000000.jpg,val,2,2,440
images/train/tube_000001.jpg,train,2,2,324
images/train/tube_000002.jpg,train,3,3,739
images/train/tube_000003.jpg,train,3,3,587
images/train/tube_000004.jpg,train,1,1,177
images/train/tube_000005.jpg,train,2,2,368
images/train/tube_000006.jpg,train,4,4,734
images/val/tube_000007.jpg,val,2,2,401
images/train/tube_000008.jpg,train,1,1,227
images/train/tube_000009.jpg,train,3,3,657
images/train/tube_000010.jpg,train,4,4,840
images/val/tube_000011.jpg,val,3,3,586
images/train/tube_000012.jpg,train,1,1,231
images/val/tube_000013.jpg,val,3,3,692
images/train/tube_000014.jpg,train,2,2,362
images/train/tube_000015.jpg,train,3,3,688
images/train/tube_000016.jpg,train,3,3,582
images/train/tube_000017.jpg,train,4,4,875
images/train/tube_000018.jpg,train,2,2,469
images/train/tube_000019.jpg,train,1,1,195
images/test/tube_000020.jpg,test,0,0,0
images/test/tube_000021.jpg,test,2,2,400
images/train/tube_000022.jpg,train,1,1,247
images/val/tube_000023.jpg,val,2,2,433
images/train/tube_000024.jpg,train,4,4,805
images/train/tube_000025.jpg,train,2,2,426
images/test/tube_000026.jpg,test,3,3,573
images/train/tube_000027.jpg,train,2,2,494
images/train/tube_000028.jpg,train,2,2,503
images/train/tube_000029.jpg,train,3,3,589
images/train/tube_000030.jpg,train,3,3,622
images/train/tube_000031.jpg,train,2,2,324
images/train/tube_000032.jpg,train,3,3,586
images/train/tube_000033.jpg,train,3,3,612
images/train/tube_000034.jpg,train,3,3,631
images/train/tube_000035.jpg,train,3,3,627
images/train/tube_000036.jpg,train,3,3,583
images/train/tube_000037.jpg,train,4,4,861
images/test/tube_000038.jpg,test,1,1,221
images/train/tube_000039.jpg,train,2,2,428
images/train/tube_000040.jpg,train,4,4,946
images/test/tube_000041.jpg,test,2,2,332
images/train/tube_000042.jpg,train,1,1,235
images/train/tube_000043.jpg,train,1,1,255
images/train/tube_000044.jpg,train,1,1,191
images/train/tube_000045.jpg,train,2,2,457
images/train/tube_000046.jpg,train,3,3,483
images/train/tube_000047.jpg,train,3,3,642
images/train/tube_000048.jpg,train,1,1,217
images/train/tube_000049.jpg,train,0,0,0
images/train/tube_000050.jpg,train,2,2,425
images/train/tube_000051.jpg,train,2,2,312
images/train/tube_000052.jpg,train,2,2,429
images/train/tube_000053.jpg,train,1,1,236
images/train/tube_000054.jpg,train,1,1,180
images/train/tube_000055.jpg,train,3,3,657
images/train/tube_000056.jpg,train,1,1,143
images/train/tube_000057.jpg,train,0,0,0
images/test/tube_000058.jpg,test,1,1,216
images/test/tube_000059.jpg,test,2,2,430
images/val/tube_000060.jpg,val,3,3,628
images/train/tube_000061.jpg,train,3,3,618
images/train/tube_000062.jpg,train,3,3,695
images/train/tube_000063.jpg,train,3,3,613
images/train/tube_000064.jpg,train,1,1,191
images/train/tube_000065.jpg,train,4,4,964
images/train/tube_000066.jpg,train,4,4,816
images/train/tube_000067.jpg,train,4,4,800
images/test/tube_000068.jpg,test,4,4,771
images/train/tube_000069.jpg,train,2,2,377
images/train/tube_000070.jpg,train,2,2,428
images/train/tube_000071.jpg,train,2,2,361
images/train/tube_000072.jpg,train,3,3,634
images/train/tube_000073.jpg,train,2,2,499
images/train/tube_000074.jpg,train,4,4,832
images/train/tube_000075.jpg,train,2,2,383
images/train/tube_000076.jpg,train,1,1,153
images/train/tube_000077.jpg,train,3,3,678
images/train/tube_000078.jpg,train,2,2,384
images/test/tube_000079.jpg,test,4,4,892
images/val/tube_000080.jpg,val,2,2,488
images/train/tube_000081.jpg,train,3,3,515
images/train/tube_000082.jpg,train,1,1,224
images/train/tube_000083.jpg,train,0,0,0
images/train/tube_000084.jpg,train,3,3,616
images/train/tube_000085.jpg,train,4,4,784
images/train/tube_000086.jpg,train,1,1,140
images/train/tube_000087.jpg,train,4,4,804
images/train/tube_000088.jpg,train,1,1,223
images/test/tube_000089.jpg,test,0,0,0
images/test/tube_000090.jpg,test,4,4,829
images/train/tube_000091.jpg,train,4,4,843
images/train/tube_000092.jpg,train,1,1,213
images/test/tube_000093.jpg,test,1,1,250
images/train/tube_000094.jpg,train,2,2,439
images/val/tube_000095.jpg,val,4,4,825
images/train/tube_000096.jpg,train,4,4,789
images/train/tube_000097.jpg,train,4,4,902
images/train/tube_000098.jpg,train,2,2,407
images/test/tube_000099.jpg,test,3,3,573
images/test/tube_000100.jpg,test,2,2,391
images/val/tube_000101.jpg,val,3,3,615
images/train/tube_000102.jpg,train,4,4,938
images/train/tube_000103.jpg,train,3,3,628
images/train/tube_000104.jpg,train,2,2,363
images/train/tube_000105.jpg,train,2,2,467
images/train/tube_000106.jpg,train,1,1,150
images/train/tube_000107.jpg,train,3,3,688
images/test/tube_000108.jpg,test,3,3,721
images/train/tube_000109.jpg,train,3,3,559
images/test/tube_000110.jpg,test,3,3,594
images/test/tube_000111.jpg,test,3,3,549
images/val/tube_000112.jpg,val,1,1,222
images/train/tube_000113.jpg,train,1,1,214
images/train/tube_000114.jpg,train,0,0,0
images/train/tube_000115.jpg,train,3,3,607
images/test/tube_000116.jpg,test,2,2,378
images/train/tube_000117.jpg,train,3,3,690
images/train/tube_000118.jpg,train,1,1,250
images/train/tube_000119.jpg,train,1,1,190
images/train/tube_000120.jpg,train,3,3,636
images/val/tube_000121.jpg,val,4,4,835
images/val/tube_000122.jpg,val,4,4,789
images/val/tube_000123.jpg,val,3,3,670
images/train/tube_000124.jpg,train,4,4,779
images/train/tube_000125.jpg,train,4,4,828
images/train/tube_000126.jpg,train,1,1,158
