group_type,group_value,trials,correct,success_rate,mean_distance_m,mean_axial_distance_m,mean_radial_offset_m,mean_attenuation,mean_peak_force_n,mean_impulse_ns,mean_end_velocity_x_mps,mean_end_velocity_z_mps
offset_m,-0.350000,5,1,0.200000,1.290448,1.289997,0.032590,1.449857,14.235664,1.354992,4.096038,1.344368
offset_m,-0.175000,5,1,0.200000,1.465393,1.464997,0.032496,1.171217,11.480027,1.160037,3.479381,1.005819
offset_m,0.000000,5,2,0.400000,1.640352,1.639997,0.032590,0.965205,9.450718,0.993533,2.961260,0.713322
offset_m,0.175000,5,2,0.400000,1.815317,1.814997,0.032506,0.809037,7.914472,0.854142,2.532691,0.467876
offset_m,0.350000,5,1,0.200000,1.990289,1.989997,0.032590,0.687659,6.723350,0.739469,2.183150,0.266411
tube_class,polypropene tube 1,5,3,0.600000,1.640341,1.639998,0.033134,1.018483,9.962336,0.988705,2.956220,0.739022
tube_class,polypropene tube 2,5,4,0.800000,1.640340,1.639998,0.033134,1.018484,9.962611,0.990130,2.975833,0.723240
tube_class,polystyrene tube 1,5,0,0.000000,1.640153,1.639997,0.022367,1.039267,10.178209,1.047394,3.128650,0.790710
tube_class,polystyrene tube 2,5,0,0.000000,1.640169,1.639996,0.023536,1.037529,10.173198,1.050450,3.138044,0.796130
tube_class,lysis tube,5,0,0.000000,1.640794,1.639995,0.050600,0.969213,9.527877,1.025495,3.053773,0.748694
