run_id,tube_sequence,body_id,seed,requested_control_mode,control_mode,rl_policy_path,calibration_mode,nominal_pressure_kpa,tube_mass_kg,spawn_lateral_offset_m,reference_impulse_x_ns,reference_impulse_z_ns,pulse_duration_s,nozzle_radius_m,spread_rate,spawn_step,spawn_time_s,evaluation_class_id,evaluation_class,detected_class_id,detected_class,confidence,detection_hits,first_detection_step,last_detection_step,selected_jet,policy_action,jet_intensity,jet_command_step,jet_command_x,jet_command_y,jet_command_z,jet_step,jet_x,jet_y,jet_z,jet_distance_m,jet_axial_distance_m,jet_radial_offset_m,jet_plume_radius_m,jet_distance_factor,jet_radial_factor,jet_attenuation,jet_peak_force_n,jet_impulse_ns,jet_start_velocity_x_mps,jet_start_velocity_y_mps,jet_start_velocity_z_mps,jet_end_x,jet_end_y,jet_end_z,jet_end_velocity_x_mps,jet_end_velocity_y_mps,jet_end_velocity_z_mps,post_jet_min_x,post_jet_max_x,post_jet_min_z,post_jet_max_z,selected_bin_contact_steps,selected_bin_contact_points,first_selected_bin_contact_step,first_selected_bin_contact_x,first_selected_bin_contact_y,first_selected_bin_contact_z,crossed_bin_entry,first_bin_entry_step,first_bin_entry_x,first_bin_entry_y,first_bin_entry_z,inside_selected_bin_xy,below_selected_bin_rim,final_bin,outcome,failure_stage,success,final_step,final_x,final_y,final_z
20260730_042444_757389_seed42,1,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.350000,1.050000,1.000000,0.120000,0.060000,0.120000,240,1.000000,0,polypropene tube 1,,,0.000000,0,,,1,,1.000000,4018,-2.364984,-2.877473,9.287298,4025,-2.364984,-2.848307,9.287298,1.290424,1.289998,0.033134,0.214800,1.524107,0.953526,1.453275,17.628323,1.257857,0.000000,1.000000,0.000000,-2.110962,-2.727954,9.502748,3.265373,0.990860,2.365911,-2.364984,0.754555,8.892305,9.734838,43,87,4213,0.040267,-2.102446,9.355334,1,4177,-0.390248,-2.236997,9.613111,1,1,1,correct_bin,collected,1,4283,0.754555,-1.873298,8.892305
20260730_042444_757389_seed42,2,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.175000,1.050000,1.000000,0.120000,0.060000,0.120000,4524,18.850000,0,polypropene tube 1,,,0.000000,0,,,1,,1.000000,8302,-2.189984,-2.877473,9.287298,8309,-2.189984,-2.848307,9.287298,1.465373,1.464998,0.033134,0.235800,1.220708,0.961280,1.173442,14.235620,1.168093,0.000000,1.000000,0.000000,-1.970233,-2.727912,9.465356,3.005978,0.991684,2.127631,-2.189984,0.722978,8.871738,9.689819,31,63,8495,0.033429,-2.172202,9.361365,1,8458,-0.392426,-2.287520,9.630445,1,1,1,correct_bin,collected,1,8566,0.722978,-2.032814,8.871738
20260730_042444_757389_seed42,3,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.000000,1.050000,1.000000,0.120000,0.060000,0.120000,8807,36.695833,0,polypropene tube 1,,,0.000000,0,,,1,,1.000000,12585,-2.014984,-2.877473,9.287298,12592,-2.014984,-2.848307,9.287298,1.640333,1.639998,0.033134,0.256800,0.999636,0.967253,0.966901,11.730941,1.068752,0.000000,1.000000,0.000000,-1.825177,-2.727878,9.432260,2.727752,0.992390,1.854981,-2.014984,0.357614,9.287298,9.699827,559,2213,12738,-0.520347,-2.265476,9.677185,1,12751,-0.389749,-2.222557,9.688720,1,1,,missed_bin,below_rim_not_confirmed,0,13313,-0.051000,-1.053982,9.301438
20260730_042444_757389_seed42,4,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.175000,1.050000,1.000000,0.120000,0.060000,0.120000,13554,56.475000,0,polypropene tube 1,,,0.000000,0,,,1,,1.000000,17332,-1.839984,-2.877473,9.287298,17339,-1.839984,-2.848307,9.287298,1.815301,1.814998,0.033134,0.277800,0.833595,0.971949,0.810212,9.828637,0.965240,0.000000,1.000000,0.000000,-1.675864,-2.727853,9.403565,2.445285,0.992976,1.565402,-1.839984,-0.705823,9.223993,9.591415,144,151,17468,-0.751563,-2.325430,9.548502,0,,,,,0,0,,missed_bin,funnel_collision,0,18060,-0.889720,-0.971593,9.224479
20260730_042444_757389_seed42,5,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.350000,1.050000,1.000000,0.120000,0.060000,0.120000,18301,76.254167,0,polypropene tube 1,,,0.000000,0,,,1,,1.000000,22079,-1.664984,-2.877473,9.287298,22086,-1.664984,-2.848307,9.287298,1.990274,1.989998,0.033134,0.298800,0.705729,0.975707,0.688585,8.351334,0.863992,0.000000,1.000000,0.000000,-1.523246,-2.727857,9.380747,2.143801,0.992371,1.347998,-1.664984,-0.842584,9.246872,9.505968,76,107,22198,-0.844562,-2.391454,9.438001,0,,,,,0,0,,missed_bin,funnel_collision,0,22807,-1.108027,-1.178099,9.247324
20260730_042444_757389_seed42,6,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.350000,1.050000,1.000000,0.120000,0.060000,0.120000,23048,96.033333,1,polypropene tube 2,,,0.000000,0,,,2,,1.000000,27311,-2.364984,-0.877473,9.287298,27318,-2.364984,-0.848307,9.287298,1.290423,1.289998,0.033134,0.214800,1.524108,0.953526,1.453276,17.628733,1.265944,0.000000,1.000000,0.000000,-2.106364,-0.727953,9.499069,3.378318,0.990885,2.303238,-2.364984,0.165144,8.849832,9.693236,325,781,27450,-0.649942,-0.310785,9.260554,1,27526,-0.391761,-0.039675,9.252015,1,1,,missed_bin,below_rim_not_confirmed,0,28039,0.141518,0.738205,8.849832
20260730_042444_757389_seed42,7,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,-0.175000,1.050000,1.000000,0.120000,0.060000,0.120000,28280,117.833333,1,polypropene tube 2,,,0.000000,0,,,2,,1.000000,32543,-2.189984,-0.877473,9.287298,32550,-2.189984,-0.848307,9.287298,1.465372,1.464998,0.033134,0.235800,1.220709,0.961280,1.173443,14.236358,1.174067,0.000000,1.000000,0.000000,-1.966835,-0.727911,9.462216,3.097757,0.991707,2.076650,-2.189984,0.390681,9.177799,9.628991,582,2135,32683,-0.591846,-0.311131,9.260762,1,32703,-0.384469,-0.238068,9.253644,1,1,,missed_bin,below_rim_not_confirmed,0,33271,0.363278,0.452528,9.177799
20260730_042444_757389_seed42,8,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.000000,1.050000,1.000000,0.120000,0.060000,0.120000,33512,139.633333,1,polypropene tube 2,,,0.000000,0,,,2,,1.000000,37775,-2.014984,-0.877473,9.287298,37782,-2.014984,-0.848307,9.287298,1.640332,1.639998,0.033134,0.256800,0.999637,0.967253,0.966902,11.731362,1.072797,0.000000,1.000000,0.000000,-1.822699,-0.727877,9.429547,2.799426,0.992409,1.812226,-2.014984,0.238279,9.139872,9.564097,541,1489,37963,-0.140126,-0.131837,9.241878,1,37936,-0.392746,-0.230750,9.430729,1,1,,missed_bin,below_rim_not_confirmed,0,38503,0.086474,0.458944,9.147395
20260730_042444_757389_seed42,9,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.175000,1.050000,1.000000,0.120000,0.060000,0.120000,38744,161.433333,1,polypropene tube 2,,,0.000000,0,,,2,,1.000000,43007,-1.839984,-0.877473,9.287298,43014,-1.839984,-0.848307,9.287298,1.815300,1.814998,0.033134,0.277800,0.833596,0.971949,0.810213,9.828889,0.967825,0.000000,1.000000,0.000000,-1.674058,-0.727852,9.401203,2.499916,0.992993,1.528782,-1.839984,0.584354,8.936910,9.528200,101,345,43193,-0.157657,-0.227533,9.325412,1,43167,-0.388472,-0.302634,9.469909,1,1,2,correct_bin,collected,1,43301,0.584354,0.135514,8.936910
20260730_042444_757389_seed42,10,18,42,ground_truth,ground_truth,,1,55.000000,0.300000,0.350000,1.050000,1.000000,0.120000,0.060000,0.120000,43542,181.425000,1,polypropene tube 2,,,0.000000,0,,,2,,1.000000,47805,-1.664984,-0.877473,9.287298,47812,-1.664984,-0.848307,9.287298,1.990273,1.989998,0.033134,0.298800,0.705729,0.975707,0.688585,8.351492,0.865665,0.000000,1.000000,0.000000,-1.521857,-0.727865,9.378415,2.189017,0.992205,1.302481,-1.664984,0.318009,9.170413,9.528102,530,4075,47963,-0.478964,-0.256479,9.508999,1,47975,-0.387551,-0.219765,9.517948,1,1,,missed_bin,below_rim_not_confirmed,0,48533,0.024703,0.503229,9.173356
