run_id,tube_sequence,body_id,seed,requested_control_mode,control_mode,rl_policy_path,calibration_mode,nominal_pressure_kpa,rule_distance_compensation,rule_target_attenuation,tube_mass_kg,spawn_lateral_offset_m,reference_impulse_x_ns,reference_impulse_z_ns,pulse_duration_s,jet_to_bin_lead_m,nozzle_radius_m,spread_rate,spawn_step,spawn_time_s,evaluation_class_id,evaluation_class,detected_class_id,detected_class,confidence,detection_hits,first_detection_step,last_detection_step,selected_jet,policy_action,jet_intensity,trigger_lead_m,jet_command_step,jet_command_x,jet_command_y,jet_command_z,jet_step,jet_x,jet_y,jet_z,jet_distance_m,jet_axial_distance_m,jet_radial_offset_m,jet_plume_radius_m,jet_distance_factor,jet_radial_factor,jet_attenuation,jet_peak_force_n,jet_impulse_ns,jet_start_velocity_x_mps,jet_start_velocity_y_mps,jet_start_velocity_z_mps,jet_end_x,jet_end_y,jet_end_z,jet_end_velocity_x_mps,jet_end_velocity_y_mps,jet_end_velocity_z_mps,post_jet_min_x,post_jet_max_x,post_jet_min_z,post_jet_max_z,selected_bin_contact_steps,selected_bin_contact_points,first_selected_bin_contact_step,first_selected_bin_contact_x,first_selected_bin_contact_y,first_selected_bin_contact_z,crossed_bin_entry,first_bin_entry_step,first_bin_entry_x,first_bin_entry_y,first_bin_entry_z,inside_selected_bin_xy,below_selected_bin_rim,final_bin,outcome,failure_stage,success,final_step,final_x,final_y,final_z
20260730_052013_530331_seed42,1,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.350000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,240,1.000000,0,polypropene tube 1,,,0.000000,0,,,1,,0.700000,0.020000,359,-2.364984,-2.880202,9.287298,360,-2.364984,-2.876035,9.287298,1.291111,1.289998,0.053579,0.214800,1.522703,0.882991,1.344534,6.854130,0.748459,0.000000,1.000000,0.000000,-2.221265,-2.755661,9.309467,2.209653,0.991814,0.322223,-2.364984,-0.125333,9.172395,9.315882,279,722,558,-0.923297,-2.093113,9.247223,1,663,-0.392107,-1.711556,9.226349,1,1,,missed_bin,below_rim_not_confirmed,0,1081,-0.142783,-0.973258,9.172395
20260730_052013_530331_seed42,2,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.350000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,1130,4.708333,0,polypropene tube 1,,,0.000000,0,,,1,,0.800000,0.020000,1249,-2.364984,-2.880202,9.287298,1250,-2.364984,-2.876035,9.287298,1.291111,1.289998,0.053579,0.214800,1.522703,0.882991,1.344534,8.874041,0.940499,0.000000,1.000000,0.000000,-2.179750,-2.755641,9.332620,2.800191,0.991663,0.656246,-2.364984,0.964986,8.887776,9.360165,242,782,1398,-0.918772,-2.278881,9.247327,1,1460,-0.388433,-2.044705,9.252585,1,1,1,correct_bin,collected,1,1671,0.964986,-1.871297,8.887776
20260730_052013_530331_seed42,3,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.350000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,1720,7.166667,0,polypropene tube 1,,,0.000000,0,,,1,,0.900000,0.020000,1839,-2.364984,-2.880202,9.287298,1840,-2.364984,-2.876035,9.287298,1.291111,1.289998,0.053579,0.214800,1.522703,0.882991,1.344534,11.145287,1.135983,0.000000,1.000000,0.000000,-2.134689,-2.755647,9.357561,3.411138,0.991201,0.995623,-2.364984,0.834847,8.889018,9.422951,138,350,1960,-0.917770,-2.387486,9.247601,1,2006,-0.388684,-2.209533,9.252484,1,1,1,correct_bin,collected,1,2117,0.834847,-1.864923,8.889018
20260730_052013_530331_seed42,4,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.175000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,2166,9.025000,0,polypropene tube 1,,,0.000000,0,,,1,,0.700000,0.020000,2285,-2.189984,-2.880202,9.287298,2286,-2.189984,-2.876035,9.287298,1.465978,1.464998,0.053579,0.235800,1.219822,0.901891,1.100146,5.568442,0.624680,0.000000,1.000000,0.000000,-2.072471,-2.755694,9.294785,1.833396,0.991538,0.107958,-2.189984,-0.459164,9.225671,9.295427,27,27,2511,-0.921560,-2.001450,9.247092,0,,,,,0,0,,missed_bin,funnel_collision,0,3007,-0.553993,-0.838683,9.226238
20260730_052013_530331_seed42,5,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.175000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,3056,12.733333,0,polypropene tube 1,,,0.000000,0,,,1,,0.800000,0.020000,3175,-2.189984,-2.880202,9.287298,3176,-2.189984,-2.876035,9.287298,1.465978,1.464998,0.053579,0.235800,1.219822,0.901891,1.100146,7.221004,0.795102,0.000000,1.000000,0.000000,-2.037529,-2.755655,9.314349,2.352317,0.991847,0.402878,-2.189984,-0.107363,9.210761,9.324498,563,1640,3334,-0.920848,-2.242282,9.247184,1,3415,-0.387269,-1.939950,9.238214,1,1,,missed_bin,below_rim_not_confirmed,0,3897,-0.149497,-1.640567,9.210800
20260730_052013_530331_seed42,6,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.175000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,3946,16.441667,0,polypropene tube 1,,,0.000000,0,,,1,,0.900000,0.020000,4065,-2.189984,-2.880202,9.287298,4066,-2.189984,-2.876035,9.287298,1.465978,1.464998,0.053579,0.235800,1.219822,0.901891,1.100146,9.080655,0.974600,0.000000,1.000000,0.000000,-1.999027,-2.755640,9.335807,2.905755,0.991619,0.715418,-2.189984,0.890527,8.882519,9.368690,268,906,4191,-0.918272,-2.368266,9.248565,1,4269,-0.391001,-2.073333,9.252398,1,1,1,correct_bin,collected,1,4542,0.890527,-1.867089,8.882519
20260730_052013_530331_seed42,7,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.350000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,4591,19.129167,1,polypropene tube 2,,,0.000000,0,,,2,,0.700000,0.020000,4711,-2.364984,-0.876035,9.287298,4712,-2.364984,-0.871869,9.287298,1.290969,1.289998,0.050062,0.214800,1.522993,0.897057,1.366211,6.882043,0.746150,0.000000,1.000000,0.000000,-2.220764,-0.751514,9.308626,2.205039,0.991528,0.304377,-2.364984,-0.094473,9.169978,9.314352,43,60,4947,-0.714861,0.036725,9.243383,1,5017,-0.389435,0.284207,9.226492,1,1,,missed_bin,below_rim_not_confirmed,0,5433,-0.115432,0.720306,9.170177
20260730_052013_530331_seed42,8,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.350000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,5482,22.841667,1,polypropene tube 2,,,0.000000,0,,,2,,0.800000,0.020000,5602,-2.364984,-0.876035,9.287298,5603,-2.364984,-0.871869,9.287298,1.290969,1.289998,0.050062,0.214800,1.522993,0.897057,1.366211,8.923045,0.938212,0.000000,1.000000,0.000000,-2.178910,-0.751498,9.331762,2.800868,0.990914,0.638965,-2.364984,0.649180,8.867935,9.358507,314,933,5771,-0.738283,-0.200768,9.246880,1,5813,-0.386170,-0.044633,9.252503,1,1,2,correct_bin,collected,1,6109,0.649180,0.102536,8.867935
20260730_052013_530331_seed42,9,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.350000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,6158,25.658333,1,polypropene tube 2,,,0.000000,0,,,2,,0.900000,0.020000,6278,-2.364984,-0.876035,9.287298,6279,-2.364984,-0.871869,9.287298,1.290969,1.289998,0.050062,0.214800,1.522993,0.897057,1.366211,11.219097,1.134121,0.000000,1.000000,0.000000,-2.133244,-0.751494,9.356583,3.426180,0.991029,0.972998,-2.364984,0.876888,8.875725,9.424012,98,182,6415,-0.724414,-0.322118,9.246811,1,6444,-0.391486,-0.211355,9.252565,1,1,2,correct_bin,collected,1,6558,0.876888,0.173070,8.875725
20260730_052013_530331_seed42,10,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.175000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,6607,27.529167,1,polypropene tube 2,,,0.000000,0,,,2,,0.700000,0.020000,6727,-2.189984,-0.876035,9.287298,6728,-2.189984,-0.871869,9.287298,1.465853,1.464998,0.050062,0.235800,1.220005,0.913796,1.114836,5.584096,0.622835,0.000000,1.000000,0.000000,-2.072146,-0.751552,9.293911,1.829118,0.991205,0.089623,-2.189984,-0.488759,9.224570,9.294322,0,0,,,,,0,,,,,0,0,,missed_bin,insufficient_lateral_travel,0,7449,-0.619212,1.120332,9.225847
