run_id,tube_sequence,body_id,seed,requested_control_mode,control_mode,rl_policy_path,calibration_mode,nominal_pressure_kpa,rule_distance_compensation,rule_target_attenuation,tube_mass_kg,spawn_lateral_offset_m,reference_impulse_x_ns,reference_impulse_z_ns,pulse_duration_s,jet_to_bin_lead_m,nozzle_radius_m,spread_rate,spawn_step,spawn_time_s,evaluation_class_id,evaluation_class,detected_class_id,detected_class,confidence,detection_hits,first_detection_step,last_detection_step,selected_jet,policy_action,jet_intensity,trigger_lead_m,jet_command_step,jet_command_x,jet_command_y,jet_command_z,jet_step,jet_x,jet_y,jet_z,jet_distance_m,jet_axial_distance_m,jet_radial_offset_m,jet_plume_radius_m,jet_distance_factor,jet_radial_factor,jet_attenuation,jet_peak_force_n,jet_impulse_ns,jet_start_velocity_x_mps,jet_start_velocity_y_mps,jet_start_velocity_z_mps,jet_end_x,jet_end_y,jet_end_z,jet_end_velocity_x_mps,jet_end_velocity_y_mps,jet_end_velocity_z_mps,post_jet_min_x,post_jet_max_x,post_jet_min_z,post_jet_max_z,selected_bin_contact_steps,selected_bin_contact_points,first_selected_bin_contact_step,first_selected_bin_contact_x,first_selected_bin_contact_y,first_selected_bin_contact_z,crossed_bin_entry,first_bin_entry_step,first_bin_entry_x,first_bin_entry_y,first_bin_entry_z,inside_selected_bin_xy,below_selected_bin_rim,final_bin,outcome,failure_stage,success,final_step,final_x,final_y,final_z
20260730_051919_072339_seed42,1,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.350000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,240,1.000000,0,polypropene tube 1,,,0.000000,0,,,1,,1.000000,0.020000,359,-2.364984,-2.880202,9.287298,360,-2.364984,-2.876035,9.287298,1.291111,1.289998,0.053579,0.214800,1.522703,0.882991,1.344534,13.667530,1.328732,0.000000,1.000000,0.000000,-2.086859,-2.755662,9.383659,4.025680,0.990660,1.324319,-2.364984,-0.738858,9.246851,9.544223,157,235,468,-0.836904,-2.436556,9.453037,0,,,,,0,0,,missed_bin,funnel_collision,0,1081,-1.266834,-1.230074,9.247015
20260730_051919_072339_seed42,2,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.175000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,1130,4.708333,0,polypropene tube 1,,,0.000000,0,,,1,,1.000000,0.020000,1249,-2.189984,-2.880202,9.287298,1250,-2.189984,-2.876035,9.287298,1.465978,1.464998,0.053579,0.235800,1.219822,0.901891,1.100146,11.148181,1.158265,0.000000,1.000000,0.000000,-1.957443,-2.755647,9.358812,3.480677,0.991193,1.034516,-2.189984,-0.903392,9.246763,9.429589,44,47,1356,-0.903584,-2.443524,9.316458,0,,,,,0,0,,missed_bin,funnel_collision,0,1971,-1.395654,-1.418697,9.247182
20260730_051919_072339_seed42,3,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.000000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,2020,8.416667,0,polypropene tube 1,,,0.000000,0,,,1,,1.000000,0.020000,2139,-2.014984,-2.880202,9.287298,2140,-2.014984,-2.876035,9.287298,1.640873,1.639998,0.053579,0.256800,0.999050,0.916619,0.915747,9.249420,1.003454,0.000000,1.000000,0.000000,-1.819286,-2.755640,9.338443,2.995259,0.991570,0.765403,-2.014984,0.783733,8.890058,9.376247,159,415,2245,-0.917839,-2.446796,9.247329,1,2297,-0.390173,-2.243985,9.252450,1,1,1,correct_bin,collected,1,2416,0.783733,-1.879906,8.890058
20260730_051919_072339_seed42,4,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.175000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,2465,10.270833,0,polypropene tube 1,,,0.000000,0,,,1,,1.000000,0.020000,2584,-1.839984,-2.880202,9.287298,2585,-1.839984,-2.876035,9.287298,1.815789,1.814998,0.053579,0.277800,0.833191,0.928302,0.773453,7.791615,0.869185,0.000000,1.000000,0.000000,-1.673893,-2.755647,9.321959,2.579811,0.991863,0.531096,-1.839984,0.826394,8.887963,9.339823,193,550,2688,-0.921594,-2.455058,9.247207,1,2749,-0.386662,-2.217642,9.252327,1,1,1,correct_bin,collected,1,2895,0.826394,-1.843909,8.887963
20260730_051919_072339_seed42,5,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.350000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,2944,12.266667,0,polypropene tube 1,,,0.000000,0,,,1,,1.000000,0.020000,3063,-1.664984,-2.880202,9.287298,3064,-1.664984,-2.876035,9.287298,1.990719,1.989998,0.053579,0.298800,0.705442,0.937716,0.661504,6.645397,0.755409,0.000000,1.000000,0.000000,-1.522753,-2.755663,9.308635,2.230836,0.991824,0.333755,-1.664984,0.936000,8.889054,9.315526,304,1055,3162,-0.918812,-2.475475,9.247436,1,3236,-0.389335,-2.188953,9.252422,1,1,1,correct_bin,collected,1,3479,0.936000,-1.858057,8.889054
20260730_051919_072339_seed42,6,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.350000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,3528,14.700000,1,polypropene tube 2,,,0.000000,0,,,2,,1.000000,0.020000,3648,-2.364984,-0.876035,9.287298,3649,-2.364984,-0.871869,9.287298,1.290969,1.289998,0.050062,0.214800,1.522993,0.897057,1.366211,13.778949,1.327978,0.000000,1.000000,0.000000,-2.084427,-0.751502,9.382257,4.067157,0.990543,1.288210,-2.364984,0.734279,8.826445,9.561687,96,445,3783,-0.381851,-0.335454,9.519906,1,3783,-0.381851,-0.335454,9.519906,1,1,2,correct_bin,collected,1,3957,0.734279,-0.352074,8.826445
20260730_051919_072339_seed42,7,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,-0.175000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,4006,16.691667,1,polypropene tube 2,,,0.000000,0,,,2,,1.000000,0.020000,4126,-2.189984,-0.876035,9.287298,4127,-2.189984,-0.871869,9.287298,1.465853,1.464998,0.050062,0.235800,1.220005,0.913796,1.114836,11.213661,1.156653,0.000000,1.000000,0.000000,-1.956093,-0.751494,9.357756,3.497793,0.991028,1.011487,-2.189984,-0.734052,9.246811,9.431166,62,70,4246,-0.741111,-0.389237,9.293588,0,,,,,0,0,,missed_bin,funnel_collision,0,4848,-1.255006,0.486380,9.247228
20260730_051919_072339_seed42,8,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.000000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,4897,20.404167,1,polypropene tube 2,,,0.000000,0,,,2,,1.000000,0.020000,5017,-2.014984,-0.876035,9.287298,5018,-2.014984,-0.871869,9.287298,1.640761,1.639998,0.050062,0.256800,0.999171,0.926810,0.926042,9.293041,1.001757,0.000000,1.000000,0.000000,-1.818510,-0.751498,9.337476,3.000418,0.990830,0.747922,-2.014984,0.804388,8.870138,9.374841,119,245,5140,-0.734784,-0.376591,9.246971,1,5174,-0.390494,-0.245632,9.252545,1,1,2,correct_bin,collected,1,5295,0.804388,0.165465,8.870138
20260730_051919_072339_seed42,9,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.175000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,5344,22.266667,1,polypropene tube 2,,,0.000000,0,,,2,,1.000000,0.020000,5464,-1.839984,-0.876035,9.287298,5465,-1.839984,-0.871869,9.287298,1.815688,1.814998,0.050062,0.277800,0.833275,0.937114,0.780874,7.817352,0.867645,0.000000,1.000000,0.000000,-1.673425,-0.751502,9.321020,2.579753,0.991267,0.515158,-1.839984,0.900926,8.888323,9.338020,195,606,5589,-0.730387,-0.369707,9.246627,1,5630,-0.388202,-0.213888,9.255915,1,1,2,correct_bin,collected,1,5800,0.900926,0.226388,8.888323
20260730_051919_072339_seed42,10,18,42,ground_truth,ground_truth,,1,55.000000,0,0.800000,0.300000,0.350000,1.050000,0.510000,0.120000,0.500000,0.060000,0.120000,5849,24.370833,1,polypropene tube 2,,,0.000000,0,,,2,,1.000000,0.020000,5969,-1.664984,-0.876035,9.287298,5970,-1.664984,-0.871869,9.287298,1.990627,1.989998,0.050062,0.298800,0.705501,0.945406,0.666985,6.663413,0.754088,0.000000,1.000000,0.000000,-1.522445,-0.751516,9.307688,2.229244,0.991548,0.317120,-1.664984,0.942715,8.881188,9.313911,265,854,6092,-0.732244,-0.378715,9.246552,1,6141,-0.391811,-0.192736,9.252614,1,1,2,correct_bin,collected,1,6370,0.942715,0.207530,8.881188
