#{"t_start": 1785771717.1583807, "env_id": "None"}
r,l,t
-14.545712,3,2.572459
50.095209,3,2.953501
-14.658902,3,2.998865
-14.292791,3,3.072347
-15.388251,3,3.143286
52.482439,4,3.338217
-15.233172,3,3.380997
-15.235251,3,3.464864
-15.082251,3,3.52371
-15.233172,3,3.566929
-14.290712,3,3.626674
-14.496791,3,3.785575
-15.208712,3,3.856698
-14.470251,3,3.920893
50.809209,3,4.028319
49.713749,3,4.275971
-15.576902,3,4.318269
-15.131172,3,4.359539
-11.807283,4,4.538858
49.509749,3,4.813546
-15.437172,3,4.853257
-15.386172,3,4.923204
-14.266251,3,5.093709
-12.368283,4,5.290407
-15.117902,3,5.335177
-15.210791,3,5.388467
-14.266251,3,5.459476
-13.244587,4,5.514803
-15.539172,3,5.57615
-15.641172,3,5.621896
-15.423902,3,5.661587
52.274717,4,5.985731
52.427718,4,6.237117
-15.463712,3,6.31354
-15.372902,3,6.364853
-15.437172,3,6.408106
-10.039468,5,6.462565
-14.266251,3,6.555707
-15.006791,3,6.698645
-14.368251,3,6.761033
-15.259712,3,6.799865
-14.443712,3,6.846628
-15.208712,3,6.893966
-14.417172,3,6.952793
-15.423902,3,7.006203
-15.210791,3,7.216106
-14.215251,3,7.269854
-14.760902,3,7.309044
-15.386172,3,7.346833
-14.443712,3,7.520025
-15.210791,3,7.565324
-15.233172,3,7.609076
-15.372902,3,7.649802
57.133704,6,7.767951
-15.539172,3,7.82839
-14.394791,3,8.029526
-13.242726,4,8.098073
-15.335172,3,8.17674
-14.454902,3,8.241351
-15.208712,3,8.357557
-15.006791,3,8.422236
-12.120726,4,8.511868
-15.210791,3,8.686193
-15.335172,3,8.733267
-15.057791,3,9.145211
-15.321902,3,9.208805
-15.539172,3,9.259365
-9.792028,5,9.362004
-14.723172,3,9.405454
-15.133251,3,9.486076
-15.208712,3,9.573176
-15.182172,3,9.625404
-14.572251,3,9.679034
-15.259712,3,9.751672
-15.004712,3,9.846904
-12.015004,4,9.932534
-14.368251,3,10.029824
-13.142587,4,10.069898
-15.117902,3,10.111439
50.631749,3,10.441589
-14.290712,3,10.493382
-15.321902,3,10.563509
-15.667712,3,10.642157
-15.055712,3,10.699475
56.488614,5,10.763551
-15.131172,3,10.806106
-12.428587,4,10.855168
-15.335172,3,10.908743
-12.933004,4,10.981688
-15.082251,3,11.08992
-15.423902,3,11.150513
-15.108791,3,11.473626
-12.783726,4,11.56079
-14.394791,3,11.829827
-14.556902,3,11.896563
-12.678004,4,11.992268
-14.658902,3,12.055712
-15.031251,3,12.133314
-15.490251,3,12.314077
-14.290712,3,12.466276
-15.780902,3,12.528885
-11.862004,4,12.672407
-15.270902,3,12.736056
-15.184251,3,13.013673
-15.423902,3,13.059245
-15.576902,3,13.105843
-15.108791,3,13.362016
-15.159791,3,13.468355
-14.290712,3,13.595353
-14.366172,3,13.664981
52.176439,4,13.817933
-14.394791,3,13.890052
-15.159791,3,14.152068
-14.519172,3,14.203808
-14.215251,3,14.302839
-15.233172,3,14.357589
-12.725283,4,14.637078
-15.372902,3,14.693438
-14.496791,3,14.906272
56.911733,5,15.210576
-14.572251,3,15.287681
-15.004712,3,15.374331
-13.448587,4,15.441432
-14.802791,3,15.716043
-15.057791,3,16.015373
-15.233172,3,16.081966
-12.530587,4,16.141531
56.248733,5,16.195601
-14.760902,3,16.263987
-15.388251,3,16.325219
-15.437172,3,16.383567
-15.235251,3,16.483564
-11.909283,4,16.847448
-14.621172,3,16.913587
50.707209,3,17.312401
-14.190791,3,17.395443
-14.366172,3,17.455158
-15.372903,3,17.519348
-15.576902,3,17.578693
-15.743172,3,17.639525
-14.443712,3,17.70143
50.707209,3,18.177424
53.090717,4,18.337175
50.809209,3,18.485485
-14.556902,3,18.548667
-15.490251,3,18.655124
-15.055712,3,18.740665
-13.137004,4,19.092587
-14.215251,3,19.418113
-15.284172,3,19.476836
-15.004712,3,19.560414
-15.210791,3,19.838326
-15.565712,3,19.954232
-12.783726,4,20.065403
-12.933004,4,20.189419
-15.780902,3,20.246734
-15.270902,3,20.309172
-14.802791,3,20.482081
-15.490251,3,20.556623
-14.496791,3,20.896746
-14.341712,3,20.986414
-14.454902,3,21.042489
-15.321902,3,21.098062
-14.496791,3,21.175225
-10.243468,5,21.316542
-14.519172,3,21.381973
-11.807283,4,21.62038
-14.403902,3,21.677724
-14.621172,3,21.735043
49.815749,3,22.135592
-15.184251,3,22.211645
-15.310712,3,22.273986
-15.490251,3,22.363448
-13.242726,4,22.50252
-15.423902,3,22.558871
-14.953712,3,22.620292
-15.539172,3,22.678118
-12.069726,4,22.783204
-15.312791,3,23.07513
-13.476791,3,23.309374
-13.703172,3,23.372853
52.27844,4,23.446753
-15.414791,3,23.655558
-15.423902,3,23.717463
-15.286251,3,23.935336
-15.259712,3,24.012401
-12.827282,4,24.408735
-15.106712,3,24.487507
49.483209,3,24.636174
-15.335172,3,24.693503
-15.474902,3,24.751837
-12.069726,4,24.834382
-14.417172,3,24.892238
-15.182172,3,24.956615
-15.233172,3,25.013451
-15.284172,3,25.068331
-14.929251,3,25.250581
-14.878251,3,25.36224
-15.414791,3,25.604386
-15.286251,3,25.709234
-15.004712,3,25.783736
-15.743172,3,25.838829
-15.031251,3,25.925845
-15.184251,3,25.994222
-14.556902,3,26.051809
-13.091587,4,26.113751
-15.361712,3,26.197777
52.176439,4,26.438155
-12.831004,4,26.563414
-12.933004,4,26.695269
52.27844,4,27.385985
-15.235251,3,27.45941
-15.233172,3,27.520251
-15.490251,3,27.632877
-13.550587,4,27.69529
-9.552147,5,27.819134
-15.219902,3,27.882517
-12.015004,4,27.975578
-14.980251,3,28.063607
-15.286251,3,28.134571
-15.565712,3,28.198922
-15.004712,3,28.268009
-14.496791,3,28.580353
-11.909283,4,28.885199
-14.341712,3,29.006144
49.891209,3,29.478607
-15.133251,3,29.696661
-15.184251,3,29.879908
-15.490251,3,29.965608
-15.031251,3,30.049946
-15.270902,3,30.109544
-14.139791,3,30.354079
51.523209,3,30.625642
-15.082251,3,30.700877
-14.266251,3,30.768211
-14.955791,3,30.918669
-15.286251,3,31.033096
-12.936726,4,31.132041
-12.827283,4,31.25784
-15.743172,3,31.324282
-14.139791,3,31.610433
-10.047028,5,31.687901
-14.368251,3,31.995708
-12.222726,4,32.098813
-15.539172,3,32.156677
-15.386172,3,32.215634
-12.887587,4,32.271425
-15.388251,3,32.479752
-13.140726,4,32.576413
-14.496791,3,32.810632
-15.133251,3,32.90407
-12.219004,4,33.004135
-14.647712,3,33.064572
-14.443712,3,33.12547
-14.394791,3,33.361837
-14.760902,3,33.421846
52.83944,4,33.801412
-15.576902,3,33.865797
-14.760902,3,33.921138
50.63999,8,34.200722
-15.388251,3,34.384382
-15.423902,3,34.444265
-12.674283,4,34.52624
-15.414791,3,34.609194
-14.394791,3,34.885398
-15.312791,3,35.163798
-14.417172,3,35.219172
53.345717,4,35.567112
-15.184251,3,35.751691
52.584439,4,36.077459
-14.266251,3,36.260182
-14.658902,3,36.317577
-11.654283,4,36.457327
-15.388251,3,36.768287
-9.450147,5,37.233755
-13.740902,3,37.295541
-15.286251,3,37.377759
-15.080172,3,37.440575
-14.658902,3,37.499496
-15.361712,3,37.58261
-15.082251,3,37.653016
-14.955791,3,37.88832
-13.040587,4,37.94417
-15.576902,3,38.008618
-15.157712,3,38.070116
-15.208712,3,38.154638
-9.945028,5,38.239152
-15.437172,3,38.297331
56.233614,5,38.545651
-14.760902,3,38.6087
-14.290712,3,38.73049
-15.259712,3,38.809928
-15.006791,3,39.0425
-14.417172,3,39.10232
-15.159791,3,39.430962
-15.372903,3,39.495328
-14.760902,3,39.556634
-15.131172,3,39.620043
-11.862004,4,39.719928
-15.157712,3,39.793359
-15.361712,3,39.852662
-15.259712,3,39.934259
-14.878251,3,40.025546
-15.270902,3,40.087507
-15.157712,3,40.201094
-15.006791,3,40.265461
-15.286251,3,40.338409
52.380439,4,40.484769
-15.388251,3,40.591897
-15.031251,3,40.703541
-14.953712,3,40.772943
-15.437172,3,40.837965
57.967614,5,40.963693
-10.345468,5,41.031427
-15.082251,3,41.144818
-14.929251,3,41.466478
-14.215251,3,41.557276
-14.723172,3,41.609542
-15.388251,3,41.716869
-15.437172,3,41.779155
-14.658902,3,41.839581
-15.286251,3,42.025812
-14.519172,3,42.084651
52.380439,4,42.383271
-15.335172,3,42.44763
-15.133251,3,42.52768
-14.470251,3,42.678629
-15.361712,3,42.786796
-14.266251,3,42.858343
-15.208712,3,42.926287
-14.266251,3,43.016892
-14.190791,3,43.101428
-15.516791,3,43.223624
-14.955791,3,43.513571
-15.490251,3,43.625752
-14.443712,3,43.69234
-15.437172,3,43.750929
50.860209,3,44.17847
-14.621172,3,44.236938
-14.904791,3,44.29444
-14.403902,3,44.360452
-15.159791,3,44.633825
-14.556902,3,44.697227
-15.066902,3,44.761665
-15.361712,3,44.850801
-10.039468,5,44.986676
-15.159791,3,45.263237
-15.463712,3,45.398371
-15.082251,3,45.617874
-15.463712,3,45.734056
-14.621172,3,45.79437
-15.210791,3,46.029767
-15.210791,3,46.119856
-15.004712,3,46.208012
-15.312791,3,46.463876
-15.233172,3,46.518618
-15.310712,3,46.58255
-14.723172,3,46.646417
-15.233172,3,46.707263
-15.463712,3,46.773187
-13.703172,3,46.828517
-15.667712,3,46.9468
-15.270902,3,47.011284
-14.454902,3,47.069948
-15.321902,3,47.127263
-14.292791,3,47.433223
-15.335172,3,47.500119
-14.290712,3,47.583344
-14.519172,3,47.643828
-14.878251,3,47.726426
-15.184251,3,47.794338
-15.565712,3,47.859051
-15.210791,3,47.98941
-15.210791,3,48.328123
-15.474902,3,48.389156
-15.388251,3,48.478858
-9.552147,5,48.570659
-15.539172,3,48.636153
-15.108791,3,48.728559
49.993209,3,49.157334
-12.530587,4,49.221943
-15.312791,3,49.284391
-15.437172,3,49.352562
-13.740902,3,49.418432
-14.368251,3,49.490676
-15.210791,3,49.791122
-15.743172,3,49.854954
-15.423902,3,49.915967
-14.266251,3,50.232669
-13.244587,4,50.426359
-15.184251,3,50.524037
-15.386172,3,50.596749
-9.792028,5,50.948762
-14.723172,3,51.008196
-14.394791,3,51.290224
-15.388251,3,51.406134
-15.286251,3,51.48117
-14.572251,3,51.556195
-15.184251,3,51.679215
50.809209,3,51.837297
-14.290712,3,51.936111
-15.386172,3,52.006949
-14.647712,3,52.070959
-15.208712,3,52.149984
-14.621172,3,52.215927
-15.565712,3,52.316174
-15.321902,3,52.375607
49.891209,3,52.823679
-15.437172,3,52.884303
-15.414791,3,53.008685
-15.208712,3,53.069148
-12.938587,4,53.135956
-15.312791,3,53.4091
52.427718,4,53.9015
-14.980251,3,54.113996
-15.259712,3,54.175902
-15.576902,3,54.237382
-15.259712,3,54.311796
-13.627712,3,54.382867
49.840209,3,54.75062
-15.463712,3,54.813951
-14.417172,3,54.872821
-15.386172,3,54.933723
-12.120726,4,55.001092
-13.703172,3,55.061527
-15.031251,3,55.160823
-14.366172,3,55.220232
-15.312791,3,55.459028
-15.131172,3,55.529004
-15.516791,3,55.766062
-15.361712,3,55.849996
-15.386172,3,55.909306
-15.474902,3,55.965661
-14.955791,3,56.114558
-15.310712,3,56.204112
-15.678902,3,56.267086
-15.259712,3,56.328452
-14.139791,3,56.422087
-15.066902,3,56.48002
-14.366172,3,56.541422
-14.760902,3,56.603295
-14.556902,3,56.659786
-15.286251,3,56.727288
-15.006791,3,56.970341
-15.210791,3,57.053459
-15.474902,3,57.106333
-15.312791,3,57.164155
-15.284172,3,57.233395
-14.953712,3,57.323936
-14.366172,3,57.384264
-14.955791,3,57.44713
-15.210791,3,57.730555
56.335614,5,57.891022
-13.448587,4,57.948909
-10.243468,5,58.165769
-14.292791,3,58.226181
-15.004712,3,58.290154
56.386614,5,58.424188
-14.519172,3,58.480681
-14.394791,3,58.541498
-15.372902,3,58.601808
-15.386172,3,58.668148
-15.080172,3,58.738842
-13.740902,3,58.806223
-14.190791,3,58.884236
-11.199004,4,58.956233
-12.887587,4,59.016049
-15.055712,3,59.079564
-15.388251,3,59.196962
-15.361712,3,59.287071
-15.066902,3,59.343896
-14.955791,3,59.44709
-15.286251,3,59.573963
-14.929251,3,59.699871
-14.802791,3,59.990398
-14.417172,3,60.051816
-15.286251,3,60.146315
-14.290712,3,60.248478
57.304614,5,60.315929
-11.70156,4,60.463675
56.929704,6,60.579471
-15.082251,3,60.650442
-14.290712,3,60.767229
-15.031251,3,60.879463
-13.244587,4,60.937822
-15.463712,3,61.028842
50.809209,3,61.180361
-15.414791,3,61.2518
-15.066902,3,61.31773
-15.539172,3,61.374529
-15.312791,3,61.643516
-14.723172,3,61.701911
-13.346587,4,61.763711
-12.933004,4,62.130521
-14.953712,3,62.218974
-15.270902,3,62.273526
-14.394791,3,62.580617
-14.621172,3,62.645028
-14.266251,3,62.71913
-14.368251,3,62.780267
-15.678902,3,62.843432
-15.576902,3,62.900949
-12.219004,4,63.009188
50.784749,3,63.407109
-14.470251,3,63.475019
-14.215251,3,63.593301
53.400439,4,63.823209
-14.139791,3,63.899241
-14.292791,3,63.979736
-15.335172,3,64.033105
-14.292791,3,64.335392
-14.723172,3,64.405875
-14.443712,3,64.53368
-14.878251,3,64.751785
-14.341712,3,64.844635
-14.366172,3,64.919394
-15.312791,3,65.39897
-11.862004,4,65.82867
-14.139791,3,65.959016
-15.780902,3,66.029478
-15.372903,3,66.088942
-15.335172,3,66.15276
-15.463712,3,66.229196
-15.463712,3,66.310385
49.866749,3,66.718019
-14.723172,3,66.777356
49.687209,3,66.946375
-13.552251,3,67.038723
-15.233172,3,67.112334
52.274717,4,67.383977
-15.539172,3,67.455074
-14.621172,3,67.510915
-14.190791,3,67.770914
-14.403902,3,67.846992
-15.057791,3,67.933645
-15.516791,3,68.122149
-15.029172,3,68.186258
-15.286251,3,68.282906
-15.463712,3,68.581945
-15.055712,3,68.894798
-14.545712,3,68.989442
-14.545712,3,69.05854
-15.565712,3,69.125803
-14.266251,3,69.238388
49.585209,3,69.642942
-14.572251,3,69.99192
-12.326587,4,70.054544
-15.335172,3,70.124648
-13.740902,3,70.195245
-15.743172,3,70.263356
-15.312791,3,70.566455
-15.539172,3,70.640602
-15.182172,3,70.700983
-15.259712,3,70.780017
-12.627004,4,71.009355
-15.463712,3,71.102482
-14.454902,3,71.161596
-15.131172,3,71.226944
-13.142587,4,71.294336
-14.215251,3,71.369784
53.502439,4,71.480606
-15.321902,3,71.540023
-11.705283,4,71.667396
-15.539172,3,71.736911
-15.117902,3,71.795989
-15.386172,3,71.873979
-14.519172,3,71.934053
-9.043476,6,72.038716
-14.760902,3,72.101348
-14.368251,3,72.198093
-13.244587,4,72.314687
-14.403902,3,72.381119
-15.321902,3,72.453735
-14.572251,3,72.587242
-14.496791,3,72.662034
-15.539172,3,72.723607
-10.047028,5,72.803529
-14.760902,3,72.864202
-15.182172,3,72.921017
-14.394791,3,73.223596
-15.437172,3,73.281811
-10.039468,5,73.39881
-11.497561,4,73.540085
-14.341712,3,73.609736
-15.286251,3,73.70435
-15.386172,3,73.771931
-12.725283,4,73.912983
-12.428587,4,73.97213
-15.539172,3,74.035899
50.860209,3,74.519307
-14.621172,3,74.579407
-14.403902,3,74.637491
-15.576902,3,74.706613
-12.936726,4,74.798423
-14.802791,3,75.106772
50.605209,3,75.358206
-15.388251,3,75.456227
-15.157712,3,75.542437
-15.321902,3,75.603563
-8.358386,5,76.144641
-12.011283,4,76.597854
-15.219902,3,76.65994
-15.055712,3,76.73155
-15.082251,3,76.862827
-14.417172,3,76.93729
-13.703172,3,76.990571
-14.139791,3,77.242526
-14.190791,3,77.384751
-12.426726,4,77.471559
-15.576902,3,77.53415
-14.139791,3,77.827622
57.253614,5,77.90118
-14.139791,3,78.144655
-14.519172,3,78.205238
-15.361712,3,78.264835
-15.372903,3,78.323469
-9.465267,5,78.867177
-14.470251,3,78.998395
-14.417172,3,79.058744
-14.572251,3,79.163037
-15.641172,3,79.220842
-14.292791,3,79.326984
-14.266251,3,79.417769
-14.443712,3,79.503706
-14.545712,3,79.623925
-14.470251,3,79.829528
-14.403902,3,79.892616
-15.539172,3,79.958001
-14.290712,3,80.016048
-14.545712,3,80.088155
-15.423902,3,80.150837
-14.723172,3,80.216104
-14.266251,3,80.333054
53.294717,4,80.742861
-15.233172,3,80.809677
-14.647712,3,80.879087
-14.929251,3,81.289185
-15.372902,3,81.344743
-15.259712,3,81.418844
-14.341712,3,81.521466
-15.539172,3,81.585306
52.529717,4,81.889528
-15.667712,3,81.960131
-13.476791,3,82.267059
50.146209,3,82.493757
-15.576902,3,82.564926
-15.361712,3,82.636536
-13.244587,4,82.704235
-14.853791,3,82.795414
-15.184251,3,82.892664
-15.335172,3,82.951721
52.172717,4,83.101588
-15.184251,3,83.216847
-15.386172,3,83.285277
-15.182172,3,83.34304
-15.335172,3,83.401029
-15.168902,3,83.46189
-13.552251,3,83.566672
-14.215251,3,83.637621
50.631749,3,84.053269
52.737439,4,84.161978
-15.321902,3,84.216352
50.605209,3,84.660365
-15.678902,3,84.722
-15.678902,3,84.786438
-14.760902,3,84.842739
-14.658902,3,84.909192
-14.878251,3,85.243357
-15.592251,3,85.562006
-15.310712,3,85.638477
-15.286251,3,85.714928
-15.463712,3,85.801988
-15.321902,3,85.869481
-14.556902,3,85.931805
-15.565712,3,86.007922
-14.980251,3,86.204712
-14.443712,3,86.26516
-15.108791,3,86.618136
-15.539172,3,86.678363
-14.853791,3,86.974614
-15.780902,3,87.036483
-15.310712,3,87.09988
-15.335172,3,87.166325
-15.437172,3,87.22975
-15.284172,3,87.293507
49.483209,3,87.739911
49.840209,3,88.194313
52.988717,4,88.323478
-15.678902,3,88.385435
-14.621172,3,88.455254
-15.082251,3,88.529281
-15.106712,3,88.613153
-15.219902,3,88.681588
-15.004712,3,88.747331
-15.168902,3,88.811071
-15.031251,3,89.019356
-15.310712,3,89.084763
-9.588028,5,89.198437
52.58444,4,89.399913
-14.215251,3,89.499412
-9.945028,5,89.591388
-15.474902,3,89.6567
-9.894028,5,89.759473
-14.341712,3,89.844088
-15.780902,3,89.905231
56.131614,5,90.083354
-14.368251,3,90.154934
-15.029172,3,90.214698
-15.310712,3,90.278438
-14.266251,3,90.513426
-15.474902,3,90.587166
-14.341712,3,90.708606
