"comparison_group","controller","policy_key","tube_class","episodes","correct","success_rate"
"discrete","DQN","dqn","polypropylene centrifuge tube 1","92","60","0.652173913043478"
"discrete","DQN","dqn","polypropylene centrifuge tube 2","93","48","0.516129032258065"
"discrete","DQN","dqn","polypropylene lysis tube","95","27","0.284210526315789"
"discrete","DQN","dqn","universal polypropylene tube","126","122","0.968253968253968"
"discrete","DQN","dqn","universal polystyrene tube","94","89","0.946808510638298"
"reference","Fixed rule","fixed_rule","polypropylene centrifuge tube 1","92","31","0.33695652173913"
"reference","Fixed rule","fixed_rule","polypropylene centrifuge tube 2","93","39","0.419354838709677"
"reference","Fixed rule","fixed_rule","polypropylene lysis tube","95","23","0.242105263157895"
"reference","Fixed rule","fixed_rule","universal polypropylene tube","126","108","0.857142857142857"
"reference","Fixed rule","fixed_rule","universal polystyrene tube","94","83","0.882978723404255"
"continuous","PPO-Continuous","ppo_continuous","polypropylene centrifuge tube 1","92","69","0.75"
"continuous","PPO-Continuous","ppo_continuous","polypropylene centrifuge tube 2","93","58","0.623655913978495"
"continuous","PPO-Continuous","ppo_continuous","polypropylene lysis tube","95","78","0.821052631578947"
"continuous","PPO-Continuous","ppo_continuous","universal polypropylene tube","126","72","0.571428571428571"
"continuous","PPO-Continuous","ppo_continuous","universal polystyrene tube","94","81","0.861702127659574"
"discrete","PPO-Discrete","ppo_discrete","polypropylene centrifuge tube 1","92","87","0.945652173913043"
"discrete","PPO-Discrete","ppo_discrete","polypropylene centrifuge tube 2","93","92","0.989247311827957"
"discrete","PPO-Discrete","ppo_discrete","polypropylene lysis tube","95","92","0.968421052631579"
"discrete","PPO-Discrete","ppo_discrete","universal polypropylene tube","126","122","0.968253968253968"
"discrete","PPO-Discrete","ppo_discrete","universal polystyrene tube","94","94","1"
"continuous","SAC","sac","polypropylene centrifuge tube 1","92","92","1"
"continuous","SAC","sac","polypropylene centrifuge tube 2","93","93","1"
"continuous","SAC","sac","polypropylene lysis tube","95","95","1"
"continuous","SAC","sac","universal polypropylene tube","126","122","0.968253968253968"
"continuous","SAC","sac","universal polystyrene tube","94","94","1"
