episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4500000,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,0.059907791828999746,-1.0,-1.9550762081710005,-0.06666666666666643,1.701707901536321,0.07835054924088626,0.7849380100182314,0.5239718552780248,0.05419972592753728,0,1.0,8,-11.787043737929196
2,4500001,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.0607867807958512,1.0,-1.9541972192041488,-0.1333333333333333,1.7059085447687623,0.1321139379021724,0.5650197374395156,1.1568487156351996,0.12416110836569572,0,1.0,6,59.099294027802884
3,4500002,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,-0.22503768934663446,1.0,-2.2400216893466345,0.0,1.4157525687196353,0.047433318221033666,1.1909039057028643,0.7129554661769651,0.05946389916849352,0,1.0,10,-27.014640879470456
4,4500003,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.22427932615894433,-1.0,-2.2392633261589445,-0.13333333333333341,1.4218692848466425,0.13211393790218154,0.6648638060905909,1.114135394839268,0.11041943203591695,0,1.0,6,59.09929402780288
5,4500004,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.23472867388079402,1.0,-2.249712673880794,-0.13333333333333341,1.4114654751229285,0.13211393790218154,0.6686011175290075,1.122743852615948,0.11085186718245582,0,1.0,6,59.09929402780288
6,4500005,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.08359126354757379,-1.0,-1.9313927364524264,-0.1333333333333333,1.7284792897273213,0.1299503331717042,0.5664873142740235,0.6408512899960681,0.06962858553478257,0,1.0,6,59.099294027802884
7,4500006,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.04226434668561413,1.0,-1.972719653314386,-0.1333333333333333,1.6874423500418032,0.1321139379021724,0.5712349626071468,1.1722380142150266,0.12531856316187595,0,1.0,6,59.099294027802884
8,4500007,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.149623458413928,-1.0,-1.8653605415860721,-0.16666666666666674,1.7970392894292255,0.163123607468881,0.4194638432717493,0.6051021282162051,0.06480231883351399,0,1.0,5,57.96761414037133
9,4500008,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.22638701617699297,1.0,-1.7885969838230071,-0.13333333333333341,1.871054662112874,0.13211393790218154,0.5119679892841033,0.8054427578933602,0.08905991080324087,0,1.0,6,59.09929402780288
10,4500009,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.13507023438260352,-1.0,-1.8799137656173965,-0.1333333333333333,1.7798167747428835,0.1299503331717042,0.5490195963282708,0.6150800612190033,0.06741873189738415,0,1.0,6,59.099294027802884
11,4500010,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.0681692431548645,1.0,-1.9468147568451357,-0.16666666666666674,1.7159372829672708,0.163123607468881,0.432216117294385,0.6409755317765472,0.06806870392149438,0,1.0,5,57.96761414037133
12,4500011,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.20443486579622266,-1.0,-2.219418865796223,-0.1333333333333333,1.4416297891212708,0.1321139379021724,0.6577582499576798,1.4024848681698865,0.13987988565742598,0,1.0,6,59.099294027802884
13,4500012,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.040374696212320316,-1.0,-1.9746093037876797,-0.16666666666666674,1.6882706802658447,0.163123607468881,0.4364045232335707,0.6536902555168449,0.06920648199070027,0,1.0,5,57.96761414037133
14,4500013,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,missed_bin,0,4,1.0,-0.326746204132528,1.0,-2.341730204132528,-0.033333333333333215,1.313651084323308,0.03246160436739137,1.4133551438636829,1.2398701620917747,0.09292930599663295,0,1.0,9,-19.002630804523655
15,4500014,0,universal polystyrene tube,0,universal polystyrene tube,missed_bin,0,1,1.0,-0.24868326761295786,1.0,-2.263667267612958,-0.09999999999999964,1.3948876639855947,0.09977019889736279,0.904321679833992,1.6874756805375395,0.15000385032149516,0,1.0,7,-7.210459681828569
16,4500015,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,1.0,0.2456512780303618,1.0,-1.7693327219696382,-0.09999999999999964,1.888671518539618,0.10684842696140569,0.5873503228813085,0.42264297598523465,0.04673910592445697,0,1.0,7,57.789540318171404
17,4500016,1,universal polypropylene tube,1,universal polypropylene tube,missed_bin,0,2,1.0,0.3462932091215962,-1.0,-1.6686907908784039,-0.13333333333333341,1.990679579040074,0.13211393790218154,0.476612162798679,0.741526290428317,0.08324010129245353,0,1.899999976158142,6,-6.818705947878426
18,4500017,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.22866006052051746,-1.0,-1.7863239394794825,-0.16666666666666652,1.875915872473051,0.1648524031072682,0.40090738511763463,0.9382631060146547,0.10303157377158263,0,1.0,5,57.96761414037135
19,4500018,0,universal polystyrene tube,0,universal polystyrene tube,missed_bin,0,1,1.0,-0.21428440273648752,1.0,-2.2292684027364875,-0.09999999999999964,1.4292005430407966,0.09977019889736279,0.8785715399738457,1.635218896198933,0.1481655118816266,0,1.0,7,-7.210459681828569
20,4500019,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.20188451069154512,1.0,-1.8130994893084549,-0.16666666666666652,1.8492454085105368,0.1648524031072682,0.40509457947774086,0.9538087734472696,0.10449611456072373,0,1.0,5,57.96761414037135
21,4500020,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.0654333137587873,-1.0,-2.0804173137587876,-0.13333333333333341,1.5800970593748345,0.13211393790218154,0.6083108912892579,0.9922765228913528,0.10333019587812213,0,1.0,6,59.09929402780288
22,4500021,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.2051773676100842,1.0,-1.809806632389916,-0.13333333333333341,1.8498985580593927,0.13211393790218154,0.5184956606086555,0.8175913474645579,0.09010420952118035,0,1.0,6,59.09929402780288
23,4500022,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,-0.0029495766936488144,-1.0,-2.017933576693649,-0.06666666666666643,1.6389197491104552,0.07835054924088626,0.8306734252306504,0.5582771355081286,0.05635793766204864,0,1.0,8,-11.787043737929196
24,4500023,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,1.0,-0.26010249404595237,1.0,-2.2750864940459525,-0.10000000000000009,1.3832915671731554,0.0968869913426943,0.933884921204282,1.049331798619072,0.09679865122695677,0,1.0,7,-7.210459681828581
25,4500024,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,0.10188891713567383,1.0,-1.9130950828643263,-0.09999999999999964,1.7451583525249372,0.10684842696140569,0.6526975000420242,0.4806202733876114,0.051527602989744646,0,1.0,7,-7.210459681828599
26,4500025,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,-0.1241243682052372,-1.0,-2.139108368205237,-0.033333333333333215,1.5168877143398378,0.05552704756055565,1.0336793562201139,0.6476179982072029,0.059512355461203675,0,1.0,9,-19.002630804523683
27,4500026,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.03699837902656561,1.0,-1.9779856209734346,-0.1333333333333333,1.68219259712157,0.1321139379021724,0.5730113766486796,1.176725659620962,0.12564678402680432,0,1.0,6,59.099294027802884
28,4500027,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,missed_bin,0,4,1.0,-0.07966954641247131,-1.0,-2.0946535464124714,-0.09999999999999964,1.5633317604809025,0.09688699134268332,0.8009043795399287,0.8115159918177747,0.08160073382861058,0,1.0,7,-7.210459681828569
29,4500028,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.128885398819904,1.0,-2.1438693988199042,-0.1333333333333333,1.516877145473503,0.1321139379021724,0.6307469955611607,1.3270317133926306,0.13565492123080575,0,1.0,6,59.099294027802884
30,4500029,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,0.08663656405171444,-1.0,-1.9283474359482857,-0.09999999999999964,1.729934865647997,0.10684842696140569,0.6601658773654222,0.48739738862583243,0.0520465855596864,0,1.0,7,-7.210459681828599
31,4500030,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,missed_bin,0,4,1.0,-0.12189580240122941,-1.0,-2.1368798024012294,-0.09999999999999964,1.5211889261354388,0.09688699134268332,0.8297578423556189,0.8451369734095527,0.08347986406098118,0,1.0,7,-7.210459681828569
32,4500031,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,0.06474009189413654,1.0,-1.9502439081058636,-0.06666666666666643,1.7065350914067479,0.07835054924088626,0.7815709386576648,0.5214582633001456,0.05403352655930633,0,1.0,8,-11.787043737929196
33,4500032,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,0.04671336046015312,-1.0,-1.968270639539847,-0.06666666666666643,1.6885275722665793,0.07835054924088626,0.7942371613606404,0.530922831928051,0.05465346973110117,0,1.0,8,-11.787043737929196
34,4500033,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.09699935283476724,1.0,-1.9179846471652329,-0.13333333333333341,1.74201390143108,0.13211393790218154,0.5530233344398393,0.8826787564455992,0.09545226482781567,0,1.0,6,59.09929402780288
35,4500034,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.23736527314237532,-1.0,-1.7776187268576247,-0.13333333333333341,1.882005677488272,0.13211393790218154,0.5086212359679535,0.7992971009835365,0.08852072679068516,0,1.0,6,59.09929402780288
36,4500035,1,universal polypropylene tube,1,universal polypropylene tube,missed_bin,0,2,1.0,0.32492861626306335,-1.0,-1.6900553837369368,-0.13333333333333341,1.9693625984754266,0.13211393790218154,0.482717909991673,0.7524876032213187,0.08426369725405933,0,1.899999976158142,6,-6.818705947878426
37,4500036,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.06078934938451325,-1.0,-2.075773349384513,-0.1333333333333333,1.5847255229941164,0.1321139379021724,0.6066829284443823,1.2632644836379376,0.13164303648547834,0,1.0,6,59.099294027802884
38,4500037,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.0464386731383738,1.0,-1.9685453268616264,-0.16666666666666674,1.6943063862216508,0.163123607468881,0.435499268258635,0.650895748633771,0.0689573307010266,0,1.0,5,57.96761414037133
39,4500038,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.19094304867865197,-1.0,-2.205927048678652,-0.1333333333333333,1.4550653581465018,0.1321139379021724,0.6529253576582741,1.388583914500256,0.13914599431710367,0,1.0,6,59.099294027802884
40,4500039,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.24012201219041707,1.0,-1.774861987809583,-0.1333333333333333,1.8846037743012494,0.1299503331717042,0.5149671998173931,0.5670025327562342,0.06302618914885444,0,1.0,6,59.099294027802884
41,4500040,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.04995689102237921,-1.0,-2.0649408910223794,-0.13333333333333341,1.5955198153221808,0.13211393790218154,0.6028953207092167,0.9811962549777412,0.10259864408370775,0,1.0,6,59.09929402780288
