episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4200000,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.13172876863836097,1.0,-1.883255231361639,-0.06666666666666643,1.7728842297931948,0.06410391028369404,0.7787570533551827,0.7123445953388577,0.07362772815954312,0,1.0,8,53.21295626207083
2,4200001,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.16569308875848043,-1.0,-1.8492909112415197,-0.06666666666666665,1.8069850861000467,0.06838358582469659,0.7438549081778083,0.9987839806032804,0.09942688105273806,0,1.0,8,53.212956262070854
3,4200002,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.03496580298230961,1.0,-1.9800181970176904,-0.06666666666666665,1.6763587458583347,0.06838358582469659,0.8382525724629046,1.1274115797825024,0.1063401863981076,0,1.0,8,53.212956262070854
4,4200003,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,1.0,-0.021896805160631805,1.0,-2.036880805160632,-0.06666666666666665,1.619369355631697,0.0641039102837066,0.90062426861366,0.898082713284074,0.08747924074280138,0,1.0,8,-11.787043737929142
5,4200004,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,-0.13853686861612222,-1.0,-2.1535208686161225,-0.06666666666666643,1.5035014562520614,0.07835054924088626,0.9430039056610019,0.64506368416103,0.06092170954158569,0,1.0,8,-11.787043737929196
6,4200005,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,1.0,-0.026616540474995898,-1.0,-2.041600540474996,-0.06666666666666665,1.6146533305591828,0.0641039102837066,0.9047966987997466,0.9024587385844122,0.0877143581084672,0,1.0,8,-11.787043737929142
7,4200006,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.13255445084906853,1.0,-1.8824295491509315,-0.06666666666666643,1.7738713448150123,0.06838358582468482,0.766267109874147,1.315032202981985,0.12921065061053483,0,1.0,8,53.21295626207083
8,4200007,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,1.0,-0.07001547128424701,-1.0,-2.084999471284247,-0.06666666666666665,1.5712895605423594,0.0641039102837066,0.9445126181940048,0.9441726495410905,0.08986294864298228,0,1.0,8,-11.787043737929142
9,4200008,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,-0.05746094482036457,1.0,-2.0724449448203646,-0.06666666666666643,1.5844728507168728,0.07835054924088626,0.8734456071756301,0.59098981064924,0.058213887070067735,0,1.0,8,-11.787043737929196
10,4200009,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,1.0,-0.2305789253973543,1.0,-2.2455629253973544,-0.06666666666666665,1.4108749892978945,0.0641039102837066,1.1156430431771038,1.1248702811776898,0.09751505106001564,0,1.0,8,-11.787043737929142
11,4200010,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.12736395592734473,1.0,-1.8876200440726554,-0.06666666666666665,1.7685229931199589,0.0641039102837066,0.7818782714645446,0.7749349706183609,0.07998456428513691,0,1.0,8,53.212956262070854
12,4200011,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.11960773480385223,-1.0,-1.8953762651961479,-0.06666666666666665,1.7609336086722682,0.06838358582469659,0.7752903726691706,1.0414534806161588,0.10188500131724472,0,1.0,8,53.212956262070854
13,4200012,1,universal polypropylene tube,1,universal polypropylene tube,missed_bin,0,2,1.0,-0.2263315838832176,-1.0,-2.2413155838832175,-0.06666666666666665,1.4153189957518104,0.06838358582469659,1.0866626383336615,1.4664237035475927,0.11900347477269482,0,1.0,8,-11.787043737929139
14,4200013,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,-0.28365973136877687,1.0,-2.298643731368777,-0.06666666666666643,1.358596829058145,0.07835054924088626,1.0882112057802555,0.7606535160355777,0.0655503788596098,0,1.0,8,-11.787043737929196
15,4200014,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,1.0,-0.2951619251566896,-1.0,-2.31014592515669,-0.06666666666666665,1.3463618839583074,0.0641039102837066,1.1972457926798659,1.2113368246492189,0.1004302734997701,0,1.0,8,-11.787043737929142
16,4200015,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.332876637657456,-1.0,-1.6821073623425442,-0.06666666666666643,1.974059728233161,0.06838358582468482,0.64411782600311,1.1028075363278227,0.11559102275964481,0,1.0,8,53.21295626207083
17,4200016,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,1.0,-0.3083449035598005,1.0,-2.3233289035598004,-0.06666666666666665,1.3331940044872408,0.0641039102837066,1.214952347840846,1.2301030735974936,0.10101379305369255,0,1.0,8,-11.787043737929142
18,4200017,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.26032934581444767,-1.0,-1.7546546541855523,-0.06666666666666665,1.9015569239119587,0.06838358582469659,0.6848501079873289,0.918553274743785,0.09436277711084302,0,1.0,8,53.212956262070854
