episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4500000,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,1.0,0.059907791828999746,-1.0,-1.9550762081710005,-0.16666666666666607,1.7083061148843173,0.16923004628714536,0.4086910708197869,0.427966909998702,0.04392273267065756,0,1.392227441072464,5,57.959769591549964
2,4500001,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9332531094551086,0.0607867807958512,1.0,-1.9541972192041488,-0.1333333333333333,1.7059085447687623,0.1321139379021724,0.5650197374395156,1.0287094298349662,0.11256080804175222,0,0.9332531094551086,6,58.70642855658472
3,4500002,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.9886752963066101,-0.22503768934663446,1.0,-2.2400216893466345,-0.20000000000000018,1.4292265982585062,0.20145285555383316,0.27423776937061123,0.48561039535762,0.04115007448978181,0,0.9886752963066101,4,54.19291557968485
4,4500003,1,universal polypropylene tube,1,universal polypropylene tube,missed_bin,0,2,0.7650342583656311,-0.22427932615894433,-1.0,-2.2392633261589445,-0.16666666666666674,1.4252840016686235,0.16485240310727564,0.458262392135123,0.6708406603461943,0.06789663270188444,0,0.7650342583656311,5,-7.955520926613196
5,4500004,1,universal polypropylene tube,1,universal polypropylene tube,missed_bin,0,2,0.7825093865394592,-0.23472867388079402,1.0,-2.249712673880794,-0.16666666666666674,1.4149053006071524,0.16485240310727564,0.4589504431189582,0.6968896486278319,0.0708487368335519,0,0.7825093865394592,5,-7.886864519491459
6,4500005,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.08359126354757379,-1.0,-1.9313927364524264,-0.16666666666666652,1.7312893684299249,0.16312360746887347,0.42985187329028524,0.5852444940875009,0.06225343920344211,0,1.0,5,57.96761414037135
7,4500006,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9663883447647095,0.04226434668561413,1.0,-1.972719653314386,-0.1333333333333333,1.6874423500418032,0.1321139379021724,0.5712349626071468,1.106285775596434,0.11953786311950441,0,0.9663883447647095,6,58.9014592123585
8,4500007,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.149623458413928,-1.0,-1.8653605415860721,-0.1333333333333333,1.7943321837190778,0.12995033317171348,0.5441727283509105,0.6587265730405633,0.07236793700024491,0,1.4853917360305786,6,59.08958619308228
9,4500008,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9989950656890869,0.22638701617699297,1.0,-1.7885969838230071,-0.13333333333333341,1.871054662112874,0.13211393790218154,0.5119679892841033,0.8040176450703711,0.088924824221053,0,1.0022792220115662,6,59.09331340259632
10,4500009,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.920078694820404,0.13507023438260352,-1.0,-1.8799137656173965,-0.16666666666666652,1.7825459247599718,0.16312360746887347,0.42178537293334184,0.49339201272210487,0.05223038605576809,0,0.920078694820404,5,57.65361875152329
11,4500010,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,0.6341229677200317,0.0681692431548645,1.0,-1.9468147568451357,-0.16666666666666674,1.7159372829672708,0.163123607468881,0.432216117294385,0.2972819299555723,0.029221240425395388,0,0.6341229677200317,5,-8.469846130868756
12,4500011,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.20443486579622266,-1.0,-2.219418865796223,-0.1333333333333333,1.4416297891212708,0.1321139379021724,0.6577582499576798,1.4024848681698865,0.13987988565742598,0,1.3442639708518982,6,59.09240874838584
13,4500012,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,0.6870459318161011,0.040374696212320316,-1.0,-1.9746093037876797,-0.16666666666666674,1.6882706802658447,0.163123607468881,0.4364045232335707,0.3542909310003044,0.03493170475565417,0,0.6870459318161011,5,-8.261922015352937
14,4500013,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,missed_bin,0,4,0.7605074644088745,-0.326746204132528,1.0,-2.341730204132528,-0.19999999999999973,1.3278475708242274,0.19635110327702196,0.2845611412518461,0.4976707870638769,0.03886884013640612,0,0.7605074644088745,4,-11.281039144507528
15,4500014,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.24868326761295786,1.0,-2.263667267612958,-0.1333333333333333,1.3975734668128146,0.1321139379021724,0.6735845219410749,1.4489185390331594,0.14221542936379675,0,1.4063568711280823,6,59.09116689038032
16,4500015,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,1.0,0.2456512780303618,1.0,-1.7693327219696382,-0.16666666666666607,1.893225376748624,0.16923004628714536,0.38412965342766947,0.3724385388016039,0.03900307009019425,0,1.090643286705017,5,57.96580127463731
