episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4400000,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.11067898953764599,1.0,-1.904305010462354,-0.1333333333333333,1.755655160775584,0.1321139379021724,0.5485464311596645,1.1166820463336142,0.121026403340213,0,1.0,6,59.099294027802884
2,4400001,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.08041738289229888,1.0,-2.095401382892299,-0.13333333333333341,1.5651659591782807,0.13211393790218154,0.6135776422670984,1.0031149152145158,0.10403280737688544,0,1.0,6,59.09929402780288
3,4400002,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.05816389542995848,-1.0,-1.9568201045700415,-0.1333333333333333,1.7031249580882235,0.1299503331717042,0.5752965809311916,0.6540389779477508,0.07072991082518001,0,1.0,6,59.099294027802884
4,4400003,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.20118017342276284,1.0,-1.8138038265772374,-0.1333333333333333,1.8459123059771745,0.1321139379021724,0.519734731625101,1.0474186976227589,0.11532267485901822,0,1.0,6,59.099294027802884
5,4400004,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.1119096155096303,-1.0,-1.90307438449037,-0.1333333333333333,1.7568822999465572,0.1321139379021724,0.5481452265780513,1.115709629251252,0.1209492717757062,0,1.0,6,59.099294027802884
6,4400005,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.23791652151454845,-1.0,-1.7770674784854517,-0.1333333333333333,1.882403539136894,0.1299503331717042,0.5156596217965488,0.5679640877700994,0.06311646482792233,0,1.0,6,59.099294027802884
7,4400006,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,1.0,0.17872879217108462,-1.0,-1.8362552078289154,-0.16666666666666607,1.8265805800942245,0.16923004628714536,0.39337674962981084,0.3913119693488382,0.04071564986124467,0,1.0,5,57.96761414037141
8,4400007,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.24141479052158088,1.0,-1.7735692094784192,-0.1333333333333333,1.8858941913061644,0.12995033317171348,0.5145615551717774,0.6136465157963528,0.06822211390314703,0,1.0,6,59.09929402780289
9,4400008,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.1638837908320584,1.0,-2.1788677908320584,-0.13333333333333341,1.4820141724515612,0.13211393790218154,0.643238818283657,1.0654979996916394,0.10782828325531205,0,1.0,6,59.09929402780288
10,4400009,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8999999761581421,-0.014478673987827595,-1.0,-2.029462673987828,-0.1333333333333333,1.630703574550337,0.1299503331717042,0.6010834350210842,0.5781987511805737,0.06301899603588315,0,0.8999999761581421,6,58.51070396513867
11,4400010,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.06741619398780158,-1.0,-1.9475678060121986,-0.13333333333333341,1.7125174112345305,0.13211393790218154,0.5628082463954777,0.9013843373239078,0.09691074959555977,0,1.0,6,59.09929402780288
12,4400011,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.16408913161442884,1.0,-1.8508948683855713,-0.1333333333333333,1.8087594604933543,0.1299503331717042,0.539396214848464,0.6012683182374937,0.06618776162125252,0,1.0,6,59.099294027802884
13,4400012,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.8999999761581421,-0.18088106702867215,1.0,-2.1958650670286723,-0.16666666666666607,1.4688953473203081,0.16923004628714536,0.4312203590866066,0.43940916107250116,0.042738499211018924,0,0.8999999761581421,5,57.57473333968278
14,4400013,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.8999999761581421,0.003485778970493403,1.0,-2.0114982210295067,-0.16666666666666607,1.6521710875311104,0.16923004628714536,0.41523154629551595,0.37663299807608996,0.037677078741831876,0,0.8999999761581421,5,57.57473333968278
15,4400014,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.26584470068978294,-1.0,-1.749139299310217,-0.1333333333333333,1.9102667763182104,0.12995033317171348,0.5069631234413158,0.6022602899801882,0.06714645944577795,0,1.0,6,59.09929402780289
16,4400015,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.8999999761581421,-0.2352630936618325,1.0,-2.250247093661833,-0.16666666666666607,1.4148893078909712,0.16923004628714536,0.43371529381083807,0.4603281933053824,0.04433220550713174,0,0.8999999761581421,5,57.57473333968278
17,4400016,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.8999999761581421,-0.2787772532645406,1.0,-2.293761253264541,-0.13333333333333341,1.3676164911955697,0.13211393790218154,0.684288476946478,0.9770567797349783,0.10008524728681958,0,0.8999999761581421,6,58.51070396513866
18,4400017,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,1.0,0.2545319523854913,1.0,-1.7604520476145087,-0.16666666666666607,1.9020706670152645,0.16923004628714536,0.38287975857350837,0.3700351988260244,0.03878114152499044,0,1.0,5,57.96761414037141
