episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4600000,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9987993240356445,0.3063642368170294,1.0,-1.7086197631829707,-0.16666666666666652,1.9533313636042222,0.1648524031072682,0.3886043094477058,0.8935197400745478,0.09864174373981044,0,1.7156124711036682,5,57.94856065321224
2,4600001,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9972114562988281,-0.0480967537962389,1.0,-2.063080753796239,-0.13333333333333341,1.5973735721316764,0.13211393790218154,0.6022461674560949,0.975242628230159,0.1021444808125688,0,1.9269748032093048,6,59.06428567365971
3,4600002,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9712122678756714,-0.2989741592832365,1.0,-2.313958159283237,-0.13333333333333341,1.347515455954159,0.13211393790218154,0.6914234425553044,1.1217649131101264,0.10997315435591322,0,1.8361370861530304,6,58.91255384128518
4,4600003,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.8231041431427002,-0.27872774017162255,-1.0,-2.2937117401716227,-0.1333333333333333,1.3674577562361279,0.12995033317171348,0.7001892499353773,0.6800283390007913,0.07157440864241776,0,1.752007633447647,6,58.03952477150933
5,4600004,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.9079766273498535,-0.0048440060467399015,1.0,-2.01982800604674,-0.1333333333333333,1.6403084942092092,0.12995033317171348,0.5976127925218929,0.6308787101848675,0.06877859955338303,0,1.866457313299179,6,58.53848411647379
6,4600005,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9634698629379272,-0.24321736436409647,1.0,-2.258201364364097,-0.16666666666666652,1.4064754815158294,0.1648524031072682,0.45947419841954595,1.1880825705171865,0.12278006595177217,0,1.6526685655117035,5,57.810310305555554
7,4600006,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9941896200180054,-0.06654445093263006,-1.0,-2.0815284509326304,-0.16666666666666652,1.5820661525238202,0.1648524031072682,0.44309694940306793,1.1144057614583762,0.11839068163584243,0,1.7645294070243835,5,57.929379482677504
8,4600007,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9986721873283386,0.2645490618116343,-1.0,-1.750434938188366,-0.16666666666666652,1.911668628503258,0.1648524031072682,0.39524694392597937,0.9161668441379853,0.10086524202847491,0,1.8908424079418182,5,57.94455401614678
9,4600008,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9994217157363892,0.046383524513365915,-1.0,-1.9686004754866342,-0.13333333333333341,1.691548201468759,0.13211393790218154,0.5698485219534523,0.9140283254792417,0.0978662620839201,0,1.915019929409027,6,59.077578340631376
10,4600009,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9641481041908264,-0.26141552076748037,-1.0,-2.2763995207674803,-0.16666666666666652,1.3884043997933053,0.1648524031072682,0.4604865677524637,1.2027370950775316,0.1238408234210778,0,1.650081306695938,5,57.813040294586614
11,4600010,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9990053176879883,0.18949596456900342,-1.0,-1.8254880354309968,-0.16666666666666652,1.8369065182574587,0.1648524031072682,0.4070189683831764,0.9595750937341776,0.10501169888909011,0,1.8074713051319122,5,57.94753690572246
12,4600011,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9882476329803467,-0.33521231721679956,-1.0,-2.3501963172168,-0.16666666666666652,1.3151588344862744,0.1648524031072682,0.4628712379407369,1.3021845775678083,0.1313811760538213,0,1.6662969887256622,5,57.907880370618216
13,4600012,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.7910276651382446,-0.19153520682516015,-1.0,-2.2065192068251602,-0.09999999999999964,1.451697691591341,0.09688699134268332,0.880302487160864,0.5897542273709427,0.06350198003084238,0,2.397595912218094,7,56.24573111108488
14,4600013,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8124843239784241,-0.09893920981736976,1.0,-2.11392320981737,-0.09999999999999964,1.5440996005503844,0.09688699134268332,0.813908664104861,0.5642384807514623,0.061624359055386796,0,2.2509723007678986,7,56.40430730868358
15,4600014,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9696787595748901,-0.2856339100686417,1.0,-2.3006179100686417,-0.16666666666666652,1.364360362651832,0.1648524031072682,0.46158689506791745,1.2302767394221281,0.12598536877133903,0,1.6466398537158966,5,57.83494861472957
16,4600015,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.956794798374176,0.20003448013344427,-1.0,-1.814949519866556,-0.1333333333333333,1.8446144406003953,0.12995033317171348,0.5277040684360107,0.5858178303106535,0.0651640202466765,0,2.170831084251404,6,58.8207118393919
17,4600016,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.9851388335227966,0.33008751416162896,-1.0,-1.684896485838371,-0.1333333333333333,1.974365605457146,0.12995033317171348,0.48755207054384664,0.5584853561291965,0.06275405721212167,0,1.5930137038230896,6,58.99966520217087
18,4600017,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9995351433753967,0.06268774866180293,-1.0,-1.9522962513381972,-0.13333333333333341,1.7078030965631006,0.13211393790218154,0.5643850707626025,0.9037003718806099,0.09708102760159609,0,1.905360221862793,6,59.07844142698741
19,4600018,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9995760917663574,0.15601967035949782,1.0,-1.8589643296405023,-0.13333333333333341,1.8008698041608113,0.13211393790218154,0.533934085857992,0.8458985635743332,0.09247598369426174,0,1.9466757774353027,6,59.07785695294634
20,4600019,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8140043616294861,-0.09605136420895627,1.0,-2.1110353642089565,-0.09999999999999964,1.5469817662454022,0.09688699134268332,0.8119425261234611,0.5645783553333632,0.06166771192524834,0,2.2395103573799133,7,56.415562696798325
21,4600020,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.9252433776855469,0.0629990915639771,-1.0,-1.951984908436023,-0.1333333333333333,1.7079468117875318,0.12995033317171348,0.5736121906886995,0.6162299298096626,0.0676759799465423,0,1.842730462551117,6,58.64093434088583
22,4600021,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.9000549912452698,-0.025444048475646686,1.0,-2.040428048475647,-0.1333333333333333,1.6197740217210321,0.12995033317171348,0.6050504980533883,0.632219090038903,0.06879571366236169,0,1.8765866160392761,6,58.491497145901384
23,4600022,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8644174337387085,0.19672149640824732,1.0,-1.8182625035917528,-0.09999999999999964,1.8392712674035294,0.09688699134268332,0.6411901830792659,0.48093934464964616,0.05439495634959267,0,1.875112384557724,7,56.78854031972264
24,4600023,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9999305009841919,0.34122449501056396,1.0,-1.673759504989436,-0.13333333333333341,1.9856220682647867,0.13211393790218154,0.4780531222997652,0.7440195027456808,0.08347305824650711,0,1.1482456028461456,6,59.09591866156247
25,4600024,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9995051622390747,0.21425276077761524,-1.0,-1.8007312392223849,-0.13333333333333341,1.858950890710351,0.13211393790218154,0.5156925914758699,0.8116627373074783,0.08959051872773321,0,1.9344156682491302,6,59.07768325248997
26,4600025,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.993516206741333,0.22805649676523954,1.0,-1.7869275032347605,-0.16666666666666607,1.8757016875417705,0.16923004628714536,0.3865919103212494,0.3731744688801858,0.03897665759449101,0,1.7370489835739136,5,57.92726991203849
27,4600026,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9997490644454956,0.2945054213259225,-1.0,-1.7204785786740775,-0.13333333333333341,1.9390090122871095,0.13211393790218154,0.4915578588761474,0.7680715955938429,0.08569898251837221,0,1.4006519615650177,6,59.089798988475124
28,4600027,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.9017539620399475,-0.28792908745264806,-1.0,-2.302913087452648,-0.16666666666666607,1.3626159441198595,0.16923004628714536,0.43483161053138336,0.48392426979342057,0.04606395242804962,0,1.9411891400814056,5,57.5608357082554
29,4600028,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.8754755258560181,-0.10943430475525293,1.0,-2.124418304755253,-0.1333333333333333,1.5360692807222098,0.12995033317171348,0.63599981789873,0.6478482287510089,0.06981056098308691,0,1.8686935305595398,6,58.346491162058626
30,4600029,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9990065097808838,0.1883266616259487,-1.0,-1.8266573383740514,-0.16666666666666652,1.8357419366687961,0.1648524031072682,0.4072001323855233,0.9602650569368971,0.10507618121482355,0,1.8033981621265411,5,57.94762307592742
31,4600030,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.960400402545929,-0.20207994962337217,-1.0,-2.2170639496233724,-0.16666666666666652,1.4473373759433337,0.1648524031072682,0.45664911182604434,1.1527505022342537,0.12009133332597816,0,1.6478874683380127,5,57.79828522060145
32,4600031,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9615719318389893,-0.19239325259218293,1.0,-2.207377252592183,-0.16666666666666652,1.4569614513144644,0.1648524031072682,0.4558836101875523,1.1477591650290548,0.11976779874806096,0,1.6547470688819885,5,57.80277417174594
33,4600032,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.9261192083358765,0.0689329817863959,-1.0,-1.9460510182136042,-0.1333333333333333,1.7138635608008455,0.12995033317171348,0.5715511043785103,0.6142647560812152,0.06750611635417018,0,1.840790033340454,6,58.6461457170276
34,4600033,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9643599987030029,-0.264443439092809,-1.0,-2.2794274390928093,-0.16666666666666652,1.385397947728703,0.1648524031072682,0.46063990749090633,1.2053551525521338,0.1240324376323344,0,1.6493222415447235,5,57.81389220643745
