episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,10042,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.28017269343243845,1.0,-1.7348113065675617,-0.1333333333333333,1.9245611108656695,0.1299503331717042,0.5025625237103074,0.5498741630045191,0.06140372598101874,0,1.0,6,59.099294027802884
2,10043,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.8999999761581421,-0.3047492216526032,1.0,-2.319733221652603,-0.16666666666666674,1.3451749240328728,0.163123607468881,0.4733072044840143,0.7236815202788491,0.0721180901781359,0,0.8999999761581421,5,57.5747333396827
3,10044,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.21140137156263955,1.0,-2.22638537156264,-0.1333333333333333,1.4346927403746252,0.1321139379021724,0.6602533639265549,1.4097095325441817,0.14025423731740555,0,1.0,6,59.099294027802884
4,10045,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.23932997028095926,1.0,-1.7756540297190408,-0.13333333333333341,1.8839655328532863,0.13211393790218154,0.508024606132214,0.7982133851003393,0.08842424592406127,0,1.0,6,59.09929402780288
5,10046,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.347260404058211,1.0,-1.667723595941789,-0.1333333333333333,1.9915015782989132,0.12995033317171348,0.48250292935020206,0.5662912965721375,0.06365874385575593,0,1.0,6,59.09929402780289
6,10047,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.18968043093543047,1.0,-2.2046644309354306,-0.1333333333333333,1.4563227651893607,0.1321139379021724,0.6524731005311308,1.3872885639549304,0.13907606329192582,0,1.0,6,59.099294027802884
7,10048,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.8999999761581421,-0.03487218225441441,1.0,-2.0498561822544143,-0.16666666666666607,1.6140196586356383,0.16923004628714536,0.41931654891870224,0.3886084486072463,0.0386833890432423,0,0.8999999761581421,5,57.57473333968278
8,10049,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.24392006936403854,1.0,-1.7710639306359615,-0.13333333333333341,1.888544359369831,0.13211393790218154,0.5066334497212746,0.7956878293738381,0.0881991473479685,0,1.0,6,59.09929402780288
9,10050,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.022559000417942954,-1.0,-1.992424999582057,-0.1333333333333333,1.6676260705799564,0.1299503331717042,0.5878246419863685,0.6730200608121858,0.07227958677876471,0,1.0,6,59.099294027802884
10,10051,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.3057118606374142,-1.0,-1.7092721393625858,-0.1333333333333333,1.9500427545913828,0.1299503331717042,0.4948201908564982,0.5392769950869464,0.06038629753429556,0,1.0,6,59.099294027802884
11,10052,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.04547520535256527,1.0,-1.9695087946474348,-0.13333333333333341,1.6906426583991527,0.13211393790218154,0.5701540805931856,0.9155049713738306,0.09798792270052874,0,1.0,6,59.09929402780288
12,10053,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.8999999761581421,-0.31739039398044805,-1.0,-2.332374393980448,-0.13333333333333341,1.3291891730233807,0.13211393790218154,0.6978831545365328,1.0058371909927097,0.10182079253913627,0,0.8999999761581421,6,58.51070396513866
13,10054,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.8999999761581421,-0.3414203980914931,1.0,-2.356404398091493,-0.20000000000000018,1.3141082048850576,0.20145285555383316,0.2585770488182365,0.4727725616591131,0.03624748643653557,0,0.8999999761581421,4,54.00871745432212
14,10055,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.8999999761581421,-0.1839508342198871,-1.0,-2.1989348342198873,-0.16666666666666607,1.4658460635525266,0.16923004628714536,0.4313938427108216,0.4405612777140503,0.042827343823442214,0,0.8999999761581421,5,57.57473333968278
15,10056,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.20071412555900459,-1.0,-1.8142698744409955,-0.1333333333333333,1.8452916845319722,0.1299503331717042,0.5274856888015997,0.5844738363092022,0.06465245863357734,0,1.0,6,59.099294027802884
