#{"t_start": 1785771729.2566907, "env_id": "None"}
r,l,t
-14.381706,3,2.827276
-14.208385,3,2.915326
57.071106,6,3.022844
55.020907,7,3.307063
52.730935,4,3.434408
53.774635,7,3.714031
-30.235362,10,3.778558
-14.561047,3,3.83691
-14.479269,3,3.932084
-13.729897,3,4.000676
-11.233106,4,4.068754
-15.03967,3,4.132467
-8.360806,5,4.236938
-13.67485,3,4.317978
44.386747,9,4.438654
-8.377995,5,4.800747
-14.540818,3,4.866873
-8.378894,6,5.006634
-8.251015,5,5.098271
-11.574119,4,5.154341
54.125943,4,5.297133
-12.493359,4,5.437744
56.984108,6,5.61565
-6.779062,6,6.144222
-13.073906,4,6.203793
27.479934,12,6.460901
57.773968,5,6.653898
57.904109,6,6.729335
-13.119712,8,6.995275
-9.250233,5,7.074198
-14.361038,3,7.134412
-14.326344,3,7.488834
57.275023,5,7.743017
-14.343093,3,7.810154
54.062349,4,8.074949
-10.81229,4,8.213863
-15.23229,3,8.317873
-12.185152,4,8.403452
-11.993791,4,8.479417
-8.663985,5,8.799443
-11.062761,4,8.937175
-13.654897,3,8.997752
54.446102,7,9.387732
-13.720065,3,9.45171
-13.640217,3,9.545667
-8.805554,5,10.000082
-11.507608,4,10.313913
-14.513995,3,10.538093
-13.764596,3,10.594865
54.132989,4,10.705055
-14.588026,3,10.766989
-8.514874,5,10.893716
-12.429974,4,10.957196
-9.473921,6,11.043818
-8.933855,5,11.151941
57.216136,6,11.412857
-13.545511,3,11.479308
-28.430165,10,11.809397
53.932474,4,12.281259
-37.810122,12,12.344667
-12.05485,4,12.405828
-15.546051,3,12.468215
-15.093961,3,12.535355
-11.103111,4,12.827598
-13.765736,3,12.89093
-28.435566,10,13.057732
-14.513688,3,13.416055
-11.125028,4,13.479885
-13.042844,4,13.545829
-12.176934,4,13.655186
-14.648357,3,13.719994
53.339551,4,13.820023
-14.607851,3,13.897415
-14.441548,3,13.987193
-9.524115,5,14.158796
57.663825,6,14.397239
-11.763462,4,14.53257
-11.500745,4,14.589846
-14.523061,3,14.654267
-14.578992,3,14.707952
58.698255,6,14.813039
-13.697196,3,14.877395
-14.608499,3,14.975657
-13.503993,3,15.053901
-12.798738,4,15.352531
