"comparison_group","controller","policy_key","seed","tube_class","episodes","correct","success_rate"
"discrete","DQN","dqn","42","polypropylene centrifuge tube 1","22","13","0.590909090909091"
"discrete","DQN","dqn","42","polypropylene centrifuge tube 2","13","5","0.384615384615385"
"discrete","DQN","dqn","42","polypropylene lysis tube","19","3","0.157894736842105"
"discrete","DQN","dqn","42","universal polypropylene tube","27","27","1"
"discrete","DQN","dqn","42","universal polystyrene tube","19","18","0.947368421052632"
"discrete","DQN","dqn","43","polypropylene centrifuge tube 1","13","9","0.692307692307692"
"discrete","DQN","dqn","43","polypropylene centrifuge tube 2","19","10","0.526315789473684"
"discrete","DQN","dqn","43","polypropylene lysis tube","23","7","0.304347826086957"
"discrete","DQN","dqn","43","universal polypropylene tube","25","24","0.96"
"discrete","DQN","dqn","43","universal polystyrene tube","20","19","0.95"
"discrete","DQN","dqn","44","polypropylene centrifuge tube 1","21","14","0.666666666666667"
"discrete","DQN","dqn","44","polypropylene centrifuge tube 2","23","11","0.478260869565217"
"discrete","DQN","dqn","44","polypropylene lysis tube","18","7","0.388888888888889"
"discrete","DQN","dqn","44","universal polypropylene tube","23","23","1"
"discrete","DQN","dqn","44","universal polystyrene tube","15","14","0.933333333333333"
"discrete","DQN","dqn","45","polypropylene centrifuge tube 1","18","10","0.555555555555556"
"discrete","DQN","dqn","45","polypropylene centrifuge tube 2","22","11","0.5"
"discrete","DQN","dqn","45","polypropylene lysis tube","22","4","0.181818181818182"
"discrete","DQN","dqn","45","universal polypropylene tube","24","22","0.916666666666667"
"discrete","DQN","dqn","45","universal polystyrene tube","14","12","0.857142857142857"
"discrete","DQN","dqn","46","polypropylene centrifuge tube 1","18","14","0.777777777777778"
"discrete","DQN","dqn","46","polypropylene centrifuge tube 2","16","11","0.6875"
"discrete","DQN","dqn","46","polypropylene lysis tube","13","6","0.461538461538462"
"discrete","DQN","dqn","46","universal polypropylene tube","27","26","0.962962962962963"
"discrete","DQN","dqn","46","universal polystyrene tube","26","26","1"
"reference","Fixed rule","fixed_rule","42","polypropylene centrifuge tube 1","22","5","0.227272727272727"
"reference","Fixed rule","fixed_rule","42","polypropylene centrifuge tube 2","13","4","0.307692307692308"
"reference","Fixed rule","fixed_rule","42","polypropylene lysis tube","19","3","0.157894736842105"
"reference","Fixed rule","fixed_rule","42","universal polypropylene tube","27","23","0.851851851851852"
"reference","Fixed rule","fixed_rule","42","universal polystyrene tube","19","18","0.947368421052632"
