episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4300000,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,1.0,-0.13333549608150294,1.0,-2.148319496081503,-0.1333333333333333,1.5122551256387953,0.12995033317171348,0.6449618990128729,0.8290092210680862,0.08565600415477591,0,1.0,6,-5.900705972197109
2,4300001,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,missed_bin,0,4,1.0,-0.2593210029452967,-1.0,-2.274305002945297,-0.06666666666666643,1.38216249696982,0.06410391028369404,1.150940304064151,1.07285659642627,0.09121740119724885,0,1.0,8,-11.787043737929165
3,4300002,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,0.1309151752259789,1.0,-1.8840688247740212,-0.09999999999999964,1.7741310460233424,0.10684842696140569,0.6387781751560674,0.4680565312578823,0.05054404672580013,0,1.0,7,-7.210459681828599
4,4300003,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,-0.31161125672339385,-1.0,-2.326595256723394,0.033333333333333215,1.3297531079838596,0.0603225377976213,1.2437580252161509,0.7445975098687508,0.0559195858505872,0,1.899999976158142,11,-34.80611595593827
5,4300004,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.2612336144673342,-1.0,-2.2762176144673343,-0.09999999999999964,1.3823697530026196,0.09977019889736279,0.9139389163553788,1.707034762079865,0.15065738469417364,0,1.0,7,57.78954031817144
6,4300005,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.014043102630116489,1.0,-2.0009408973698837,-0.1333333333333333,1.6591369137269107,0.12995033317171348,0.5908530135558633,0.7341264012251736,0.07870745080490323,0,1.0,6,59.09929402780289
7,4300006,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.3101595428157049,1.0,-2.325143542815705,-0.13333333333333341,1.336384411124106,0.13211393790218154,0.6953527749823938,1.1864933366312036,0.1138199097391308,0,1.0,6,59.09929402780288
8,4300007,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.04062337141003863,1.0,-1.9743606285899615,-0.13333333333333341,1.6858057036816947,0.13211393790218154,0.5717883272557197,0.9187225838941391,0.09822550721356485,0,1.0,6,59.09929402780288
9,4300008,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.1550161581240348,1.0,-1.8599678418759653,-0.16666666666666674,1.8024097921794378,0.163123607468881,0.41859975439281244,0.6028003868971502,0.06458998055904132,0,1.0,5,57.96761414037133
10,4300009,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.08081609658709504,-1.0,-2.0958000965870953,-0.13333333333333341,1.564768668774611,0.13211393790218154,0.613718083487712,1.0034050030930157,0.1040515923224776,0,1.0,6,59.09929402780288
