episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4300000,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,1.0,-0.13333549608150294,1.0,-2.148319496081503,-0.06666666666666665,1.508024465067802,0.0641039102837066,1.0071411531388326,1.010148634406852,0.09294428451285584,0,1.0,8,-11.787043737929142
2,4300001,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,missed_bin,0,4,1.0,-0.2593210029452967,-1.0,-2.274305002945297,-0.06666666666666643,1.38216249696982,0.06410391028369404,1.150940304064151,1.07285659642627,0.09121740119724885,0,1.0,8,-11.787043737929165
3,4300002,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,0.1309151752259789,1.0,-1.8840688247740212,-0.06666666666666643,1.7726429958359073,0.07835054924088626,0.7374557550021049,0.48869543324536047,0.051762116968001634,0,1.0,8,-11.787043737929196
4,4300003,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,-0.31161125672339385,-1.0,-2.326595256723394,-0.06666666666666643,1.330692800083001,0.07835054924088626,1.119680612350775,0.7866511408626164,0.06641013414068564,0,1.0,8,-11.787043737929196
5,4300004,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.2612336144673342,-1.0,-2.2762176144673343,-0.06666666666666643,1.3804594728708068,0.06838358582468482,1.1276032974362646,1.945711748479683,0.153810791252235,0,1.0,8,53.21295626207083
6,4300005,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,1.0,0.014043102630116489,1.0,-2.0009408973698837,-0.06666666666666665,1.6552817043372043,0.0641039102837066,0.8697490302659587,0.8660028134998832,0.0856823898663708,0,1.0,8,-11.787043737929142
7,4300006,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.3101595428157049,1.0,-2.325143542815705,-0.06666666666666665,1.3315951023181731,0.06838358582469659,1.1887885008090213,1.6070425132635513,0.12257556475872379,0,1.0,8,53.212956262070854
8,4300007,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.04062337141003863,1.0,-1.9743606285899615,-0.06666666666666665,1.6820116208837428,0.06838358582469659,0.8338175879135121,1.121342104674338,0.106045827935968,0,1.0,8,53.212956262070854
9,4300008,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.1550161581240348,1.0,-1.8599678418759653,-0.06666666666666665,1.7961573035077758,0.0641039102837066,0.7624045249079959,0.7548017281789622,0.07859931990247043,0,1.0,8,53.212956262070854
10,4300009,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.08081609658709504,-1.0,-2.0958000965870953,-0.06666666666666665,1.5606803673401195,0.06838358582469659,0.9370260027904802,1.2624651247396665,0.11220581268096208,0,1.0,8,53.212956262070854
11,4300010,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.17459081046682012,-1.0,-1.84039318953318,-0.06666666666666643,1.815877179968555,0.06838358582468482,0.7379986500699303,1.2659948464907997,0.12635081956011668,0,1.0,8,53.21295626207083
12,4300011,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,-0.07335721863527672,-1.0,-2.0883412186352768,-0.06666666666666643,1.5685962205394428,0.07835054924088626,0.8865023102201179,0.6010729601137917,0.05875052304319114,0,1.0,8,-11.787043737929196
13,4300012,0,universal polystyrene tube,0,universal polystyrene tube,missed_bin,0,1,1.0,-0.27678295461946106,-1.0,-2.2917669546194612,-0.06666666666666643,1.3649294400207792,0.06838358582468482,1.1465531215612585,1.9790481865978646,0.15465304459080617,0,1.0,8,-11.787043737929165
14,4300013,1,universal polypropylene tube,1,universal polypropylene tube,missed_bin,0,2,1.0,-0.32208697281815635,-1.0,-2.3370709728181565,-0.06666666666666665,1.319683552950778,0.06838358582469659,1.2044177348667287,1.6285483851300468,0.12306376635958526,0,1.0,8,-11.787043737929139
15,4300014,0,universal polystyrene tube,0,universal polystyrene tube,missed_bin,0,1,1.0,-0.31065800655790016,-1.0,-2.3256420065579,-0.06666666666666643,1.3310980108662547,0.06838358582468482,1.1894349601421716,2.054460085293032,0.15644973091049555,0,1.0,8,-11.787043737929165
16,4300015,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.033694776428593476,-1.0,-2.0486787764285936,-0.06666666666666643,1.6077584723017262,0.06838358582468482,0.8949010876136984,1.5395191606223162,0.14024341400694765,0,1.0,8,53.21295626207083
17,4300016,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.2604970837862244,1.0,-1.7544869162137757,-0.06666666666666643,1.9015740417160254,0.06410391028369404,0.6942732839906629,0.6318980749772098,0.0677451044741894,0,1.0,8,53.21295626207083
18,4300017,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.2926539041304974,1.0,-1.7223300958695027,-0.06666666666666665,1.9337136036016953,0.0641039102837066,0.6752697852230474,0.6650245102727459,0.0718393490392529,0,1.0,8,53.212956262070854
19,4300018,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,0.1778295420127819,1.0,-1.8371544579872183,-0.06666666666666643,1.8195126952383478,0.07835054924088626,0.7082996153956268,0.4672289599415319,0.0501650372812753,0,1.0,8,-11.787043737929196
20,4300019,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.1472814557689167,-1.0,-1.8677025442310833,-0.06666666666666643,1.7884268352248285,0.06410391028369404,0.7677802094788154,0.7018683262825853,0.07290846583228014,0,1.0,8,53.21295626207083
21,4300020,0,universal polystyrene tube,0,universal polystyrene tube,missed_bin,0,1,1.0,-0.2784534056141376,-1.0,-2.293437405614138,-0.06666666666666643,1.363261089374603,0.06838358582468482,1.1486157840013647,1.9826764545627797,0.15474286445139718,0,1.0,8,-11.787043737929165
22,4300021,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.26640331016938656,1.0,-2.2813873101693867,-0.06666666666666665,1.3752954334884016,0.06838358582469659,1.1338546246087189,1.5314183477188343,0.12074263650427236,0,1.0,8,53.212956262070854
23,4300022,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,1.0,0.2851186018808165,1.0,-1.7298653981191836,-0.06666666666666643,1.9267077763988547,0.07835054924088626,0.647527486972186,0.42301311362752647,0.04659671626546376,0,1.0,8,53.212956262070804
24,4300023,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.2916415948920701,-1.0,-1.72334240510793,-0.06666666666666665,1.9328492470441054,0.06838358582469659,0.6668225017525288,0.8940146260889663,0.09269404066182903,0,1.0,8,53.212956262070854
25,4300024,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.18084121943097398,-1.0,-1.8341427805690262,-0.06666666666666643,1.8219654306996402,0.06410391028369404,0.7448502980933313,0.6800054411289522,0.07136268865761637,0,1.0,8,53.21295626207083
26,4300025,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.2756719292791553,1.0,-1.7393120707208447,-0.06666666666666643,1.9167403304504687,0.06410391028369404,0.6852095464166158,0.6232956907981448,0.06706658276645812,0,1.0,8,53.21295626207083
27,4300026,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.12403905019364148,-1.0,-2.1390230501936416,-0.06666666666666665,1.5175001070799023,0.06838358582469659,0.9782188738849293,1.31868143863118,0.11430004397269161,0,1.0,8,53.212956262070854
28,4300027,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.25674309614825397,1.0,-1.7582409038517461,-0.06666666666666665,1.8979729983502713,0.06838358582469659,0.6869599801191968,0.9214245333338992,0.09455420372002402,0,1.0,8,53.212956262070854
29,4300028,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.182838053551434,1.0,-1.832145946448566,-0.06666666666666643,1.8239610298408262,0.06410391028369404,0.743517580431128,0.6787356761116339,0.0712710106876512,0,1.0,8,53.21295626207083
30,4300029,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,-0.3435566065325178,-1.0,-2.358540606532518,-0.06666666666666643,1.2988042343581983,0.07835054924088626,1.157193601035287,0.8178920608947493,0.06738332699699459,0,1.0,8,-11.787043737929196
31,4300030,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,-0.20838411781245478,1.0,-2.2233681178124547,-0.06666666666666643,1.4337537327489593,0.07835054924088626,1.009298076711005,0.6973317646253089,0.06318630073655793,0,1.0,8,-11.787043737929196
32,4300031,0,universal polystyrene tube,0,universal polystyrene tube,missed_bin,0,1,1.0,-0.34578039680956085,-1.0,-2.360764396809561,-0.06666666666666643,1.2960232560127931,0.06838358582468482,1.2363395438535651,2.1368897718703477,0.1582591123551553,0,1.0,8,-11.787043737929165
33,4300032,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,1.0,0.11421199275850802,1.0,-1.9007720072414922,-0.06666666666666643,1.7559562924364158,0.07835054924088626,0.7482498739450615,0.49668152588632397,0.052334055006184016,0,1.0,8,-11.787043737929196
34,4300033,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.3335827561914946,1.0,-1.6814012438085055,-0.06666666666666643,1.9747654231185237,0.06838358582468482,0.6437388997293704,1.1021481953410925,0.11554322011413172,0,1.0,8,53.21295626207083
35,4300034,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.18579851053927832,1.0,-1.8291854894607218,-0.06666666666666665,1.827076263959206,0.06838358582469659,0.7307178403680026,0.9809349714967321,0.0983509696874245,0,1.0,8,53.212956262070854
36,4300035,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.16426235332306316,-1.0,-1.850721646676937,-0.06666666666666665,1.8055553763718202,0.06838358582469659,0.7448027958932323,1.0000714884145223,0.0995033827139306,0,1.0,8,53.212956262070854
37,4300036,1,universal polypropylene tube,1,universal polypropylene tube,missed_bin,0,2,1.0,-0.2638643305892336,-1.0,-2.2788483305892338,-0.06666666666666665,1.377831278273879,0.06838358582469659,1.1307787015654436,1.5271826627891485,0.12063442932350292,0,1.0,8,-11.787043737929139
38,4300037,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.3431651741720486,1.0,-2.358149174172049,-0.06666666666666643,1.298634842979531,0.06838358582468482,1.232757544801105,2.1305972910619912,0.15812513468097036,0,1.0,8,53.21295626207083
39,4300038,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.037348939011342064,-1.0,-1.977635060988658,-0.06666666666666643,1.6787406156942315,0.06838358582468482,0.8363797193437587,1.437243293871147,0.1356055615710202,0,1.0,8,53.21295626207083
40,4300039,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.11158175601835191,-1.0,-2.126565756018352,-0.06666666666666643,1.5299455638280295,0.06838358582468482,0.9660834203341183,1.6637300721323018,0.14513499849078434,0,1.0,8,53.21295626207083
41,4300040,1,universal polypropylene tube,1,universal polypropylene tube,missed_bin,0,2,1.0,-0.20718132177201323,-1.0,-2.2221653217720134,-0.06666666666666665,1.4344471900185263,0.06838358582469659,1.06509483930971,1.4369190732701456,0.11815144165855239,0,1.0,8,-11.787043737929139
42,4300041,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.21443169363701906,-1.0,-2.2294156936370193,-0.06666666666666643,1.4272058179460525,0.06838358582468482,1.0731871800163815,1.8499605518699547,0.1512078324289181,0,1.0,8,53.21295626207083
43,4300042,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.23869060884186166,-1.0,-2.2536746088418615,-0.06666666666666643,1.4029752468214058,0.06838358582468482,1.10091340454927,1.898750960543831,0.1525697891629166,0,1.0,8,53.21295626207083
44,4300043,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,missed_bin,0,3,1.0,-0.1837811043531587,-1.0,-2.198765104353159,-0.06666666666666665,1.4576260317255658,0.0641039102837066,1.061425989197443,1.0674925407843314,0.0953421559433004,0,1.0,8,-11.787043737929142
