episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4400000,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.8438325524330139,0.11067898953764599,1.0,-1.904305010462354,-0.1333333333333333,1.755655160775584,0.1321139379021724,0.5485464311596645,0.8365167052368152,0.09347884435711426,0,0.8438325524330139,6,58.18010816945824
2,4400001,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,-0.08041738289229888,1.0,-2.095401382892299,-0.13333333333333341,1.5651659591782807,0.13211393790218154,0.6135776422670984,1.0031149152145158,0.10403280737688544,0,1.5154271721839905,6,59.0889854843592
3,4400002,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.05816389542995848,-1.0,-1.9568201045700415,-0.16666666666666652,1.7059768008637268,0.16312360746887347,0.43373523765885985,0.5958596013951781,0.0632086049322997,0,1.0,5,57.96761414037135
4,4400003,0,universal polystyrene tube,0,universal polystyrene tube,missed_bin,0,1,0.6836525201797485,0.20118017342276284,1.0,-1.8138038265772374,-0.1333333333333333,1.8459123059771745,0.1321139379021724,0.519734731625101,0.5472774010488274,0.0608791736259777,0,0.6836525201797485,6,-7.76269535797495
5,4400004,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.8416296243667603,0.1119096155096303,-1.0,-1.90307438449037,-0.1333333333333333,1.7568822999465572,0.1321139379021724,0.5481452265780513,0.8320505871292251,0.0930098322436009,0,0.8416296243667603,6,58.16714195686401
6,4400005,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,missed_bin,0,4,0.7395629286766052,0.23791652151454845,-1.0,-1.7770674784854517,-0.16666666666666652,1.8849841660813298,0.16312360746887347,0.40511303215125416,0.3157862437189357,0.032292870222987186,0,0.7395629286766052,5,-8.05559286678245
7,4400006,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,1.0,0.17872879217108462,-1.0,-1.8362552078289154,-0.16666666666666607,1.8265805800942245,0.16923004628714536,0.39337674962981084,0.3913119693488382,0.04071564986124467,0,1.1881386041641235,5,57.963851368288125
8,4400007,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.24141479052158088,1.0,-1.7735692094784192,-0.1333333333333333,1.8858941913061644,0.12995033317171348,0.5145615551717774,0.6136465157963528,0.06822211390314703,0,1.3328355550765991,6,59.09263731670136
9,4400008,1,universal polypropylene tube,1,universal polypropylene tube,missed_bin,0,2,0.6619038581848145,-0.1638837908320584,1.0,-2.1788677908320584,-0.16666666666666674,1.4852906212487533,0.16485240310727564,0.4534280512478269,0.5255126025773311,0.050956596442620294,0,0.6619038581848145,5,-8.360700371994664
10,4400009,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,missed_bin,0,4,1.0,-0.014478673987827595,-1.0,-2.029462673987828,-0.16666666666666652,1.6336818448747814,0.16312360746887347,0.44434354077853655,0.627601212005506,0.06598101223806475,0,1.115371584892273,5,-7.03469329132649
11,4400010,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.06741619398780158,-1.0,-1.9475678060121986,-0.13333333333333341,1.7125174112345305,0.13211393790218154,0.5628082463954777,0.9013843373239078,0.09691074959555977,0,1.2568456530570984,6,59.09415711474173
12,4400011,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8668664693832397,0.16408913161442884,1.0,-1.8508948683855713,-0.16666666666666652,1.8114450055539728,0.16312360746887347,0.4171416619923059,0.4383591677907916,0.04598897924601303,0,0.8668664693832397,5,57.444558184005444
13,4400012,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.8922646641731262,-0.18088106702867215,1.0,-2.1958650670286723,-0.20000000000000018,1.4729555274425947,0.20145285555383316,0.27853130396512144,0.4038658779112221,0.03292106707261916,0,0.8922646641731262,4,53.99264951158055
