episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4400000,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9989370107650757,0.11067898953764599,1.0,-1.904305010462354,-0.16666666666666652,1.7584218111079502,0.1648524031072682,0.41900272129670635,1.0067806761611278,0.1093586889268199,0,1.6263660192489624,5,57.95088928057997
2,4400001,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9952058792114258,-0.08041738289229888,1.0,-2.095401382892299,-0.13333333333333341,1.5651659591782807,0.13211393790218154,0.6135776422670984,0.9950505855328076,0.10340947587184762,0,1.9131563603878021,6,59.052717306353316
3,4400002,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8454940319061279,0.05816389542995848,-1.0,-1.9568201045700415,-0.09999999999999964,1.7009216980399227,0.09688699134268332,0.7153581234432509,0.5226552801612635,0.05823938750321855,0,1.9885936677455902,7,56.64900287525127
4,4400003,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.999017059803009,0.20118017342276284,1.0,-1.8138038265772374,-0.16666666666666652,1.8485438765634405,0.1648524031072682,0.40520422491341984,0.9527385022470971,0.10437187120629136,0,1.840884953737259,5,57.946915000097164
5,4400004,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9989386796951294,0.1119096155096303,-1.0,-1.90307438449037,-0.16666666666666652,1.7596470208788257,0.1648524031072682,0.41881980195519575,1.006031900456085,0.10929087146557194,0,1.627522885799408,5,57.95087273353176
6,4400005,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8890750408172607,0.23791652151454845,-1.0,-1.7770674784854517,-0.09999999999999964,1.8804103499383067,0.09688699134268332,0.6211559715505873,0.4892290681127242,0.055351830774927585,0,1.9120882749557495,7,56.96666377648094
7,4400006,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.9936856031417847,0.17872879217108462,-1.0,-1.8362552078289154,-0.16666666666666607,1.8265805800942245,0.16923004628714536,0.39337674962981084,0.38709307489953254,0.04024922187609537,0,1.7423895299434662,5,57.92783201481486
8,4400007,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.9669110178947449,0.24141479052158088,1.0,-1.7735692094784192,-0.1333333333333333,1.8858941913061644,0.12995033317171348,0.5145615551717774,0.5779481778023398,0.06450315694458499,0,2.5010395646095276,6,58.873853042794345
9,4400008,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.984760046005249,-0.1638837908320584,1.0,-2.1788677908320584,-0.13333333333333341,1.4820141724515612,0.13211393790218154,0.643238818283657,1.0390006823956521,0.10589804973375479,0,1.9109484553337097,6,58.99106942623495
10,4400009,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8367812633514404,-0.014478673987827595,-1.0,-2.029462673987828,-0.09999999999999964,1.6284023299084436,0.09688699134268332,0.7588602126475898,0.5489722272071716,0.06052817675246718,0,1.968073695898056,7,56.58621202018554
