episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4400000,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9983917474746704,0.11067898953764599,1.0,-1.904305010462354,-0.16666666666666652,1.7584218111079502,0.1648524031072682,0.41900272129670635,1.0059446911251333,0.10926743325866835,0,1.579414427280426,5,57.94967517288308
2,4400001,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9953323602676392,-0.08041738289229888,1.0,-2.095401382892299,-0.13333333333333341,1.5651659591782807,0.13211393790218154,0.6135776422670984,0.9952632681336174,0.10342595290737311,0,1.9590462446212769,6,59.052546493040296
3,4400002,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8076808452606201,0.05816389542995848,-1.0,-1.9568201045700415,-0.09999999999999964,1.7009216980399227,0.09688699134268332,0.7153581234432509,0.4799533353270728,0.0539388487696657,0,2.166960656642914,7,56.371143751209814
4,4400003,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9987624883651733,0.20118017342276284,1.0,-1.8138038265772374,-0.16666666666666652,1.8485438765634405,0.1648524031072682,0.40520422491341984,0.9523545549944921,0.10432968220902432,0,1.4179677665233612,5,57.95436809034785
5,4400004,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9984232783317566,0.1119096155096303,-1.0,-1.90307438449037,-0.16666666666666652,1.7596470208788257,0.1648524031072682,0.41881980195519575,1.005241834033161,0.10920462036161156,0,1.5762929916381836,5,57.94986211086732
6,4400005,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8211384415626526,0.23791652151454845,-1.0,-1.7770674784854517,-0.09999999999999964,1.8804103499383067,0.09688699134268332,0.6211559715505873,0.4209870395029429,0.048134136535677746,0,2.034008115530014,7,56.471422400617826
7,4400006,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.9966680407524109,0.17872879217108462,-1.0,-1.8362552078289154,-0.16666666666666607,1.8265805800942245,0.16923004628714536,0.39337674962981084,0.38908796440612436,0.04046948974566143,0,1.9416523277759552,5,57.93562382958144
8,4400007,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.9353832006454468,0.24141479052158088,1.0,-1.7735692094784192,-0.1333333333333333,1.8858941913061644,0.12995033317171348,0.5145615551717774,0.5448292315880248,0.060958324914672124,0,1.756412386894226,6,58.702545474942596
9,4400008,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9726040363311768,-0.1638837908320584,1.0,-2.1788677908320584,-0.13333333333333341,1.4820141724515612,0.13211393790218154,0.643238818283657,1.0179331744762987,0.10433803317936025,0,1.8252504765987396,6,58.920991217716704
10,4400009,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8004444241523743,-0.014478673987827595,-1.0,-2.029462673987828,-0.09999999999999964,1.6284023299084436,0.09688699134268332,0.7588602126475898,0.5055556980864835,0.056303060358389716,0,2.1970103979110718,7,56.318050728244344
11,4400010,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.999596893787384,0.06741619398780158,-1.0,-1.9475678060121986,-0.13333333333333341,1.7125174112345305,0.13211393790218154,0.5628082463954777,0.9007703434745091,0.0968567373947497,0,2.1276486217975616,6,59.07436035069892
12,4400011,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8564813733100891,0.16408913161442884,1.0,-1.8508948683855713,-0.09999999999999964,1.8066850267615024,0.09688699134268332,0.657688625670358,0.48648893494537715,0.05488767427072458,0,2.214766502380371,7,56.724180119434656
13,4400012,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.9657822847366333,-0.18088106702867215,1.0,-2.1958650670286723,-0.16666666666666607,1.4688953473203081,0.16923004628714536,0.4312203590866066,0.4904588109890529,0.0481870497603765,0,1.8352378010749817,5,57.81579022839232
14,4400013,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.9537404775619507,0.003485778970493403,1.0,-2.0114982210295067,-0.16666666666666607,1.6521710875311104,0.16923004628714536,0.41523154629551595,0.41393149811291935,0.04189421565539424,0,1.759227991104126,5,57.76975965128254
