episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,10042,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,missed_bin,0,4,0.6724561452865601,0.28017269343243845,1.0,-1.7348113065675617,-0.16666666666666652,1.9270852839661046,0.16312360746887347,0.3981415964510945,0.25505359561690494,0.02599446847721452,0,0.6724561452865601,5,-8.319242471822678
2,10043,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,-0.3047492216526032,1.0,-2.319733221652603,-0.16666666666666674,1.3451749240328728,0.163123607468881,0.4733072044840143,0.8422626605189077,0.08376255439603197,0,1.2577215433120728,5,57.96245970950509
3,10044,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.21140137156263955,1.0,-2.22638537156264,-0.1333333333333333,1.4346927403746252,0.1321139379021724,0.6602533639265549,1.4097095325441817,0.14025423731740555,0,1.354150652885437,6,59.092211014745175
4,10045,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9750968813896179,0.23932997028095926,1.0,-1.7756540297190408,-0.13333333333333341,1.8839655328532863,0.13211393790218154,0.508024606132214,0.7642034779493461,0.08507057065538391,0,0.9750968813896179,6,58.952716781315424
5,10046,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,0.347260404058211,1.0,-1.667723595941789,-0.1333333333333333,1.9915015782989132,0.12995033317171348,0.48250292935020206,0.5662912965721375,0.06365874385575593,0,1.1814036965370178,6,59.09566595387215
6,10047,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.18968043093543047,1.0,-2.2046644309354306,-0.1333333333333333,1.4563227651893607,0.1321139379021724,0.6524731005311308,1.3872885639549304,0.13907606329192582,0,1.3232003152370453,6,59.092830021498145
7,10048,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,1.0,-0.03487218225441441,1.0,-2.0498561822544143,-0.16666666666666607,1.6140196586356383,0.16923004628714536,0.41931654891870224,0.4607222172892668,0.04661597077188616,0,1.5792107582092285,5,57.956029925207226
8,10049,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9666813015937805,0.24392006936403854,1.0,-1.7710639306359615,-0.13333333333333341,1.888544359369831,0.13211393790218154,0.5066334497212746,0.7503346146689218,0.08371056343219922,0,0.9666813015937805,6,58.9031835267312
9,10050,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.022559000417942954,-1.0,-1.992424999582057,-0.16666666666666652,1.6705385160181634,0.16312360746887347,0.4390343871932798,0.6110341710931971,0.0645600090558783,0,1.0448358058929443,5,57.966717424253495
10,10051,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,missed_bin,0,4,0.6340632438659668,0.3057118606374142,-1.0,-1.7092721393625858,-0.16666666666666652,1.9525339861207462,0.16312360746887347,0.39391314784258413,0.22318391901835521,0.0227289182855441,0,0.6340632438659668,5,-8.470080774368846
11,10052,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.04547520535256527,1.0,-1.9695087946474348,-0.13333333333333341,1.6906426583991527,0.13211393790218154,0.5701540805931856,0.9155049713738306,0.09798792270052874,0,1.2944239974021912,6,59.093405547854836
12,10053,1,universal polypropylene tube,1,universal polypropylene tube,missed_bin,0,2,0.9158228635787964,-0.31739039398044805,-1.0,-2.332374393980448,-0.16666666666666674,1.3328413558652812,0.16485240310727564,0.46256798513875114,0.9097993442243462,0.09298869243566824,0,0.9158228635787964,5,-7.363101588348276
13,10054,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,1.0,-0.3414203980914931,1.0,-2.356404398091493,-0.20000000000000018,1.3141082048850576,0.20145285555383316,0.2585770488182365,0.5432198061301464,0.04441686070720429,0,1.180177092552185,4,54.21283593588253
14,10055,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,0.8989766836166382,-0.1839508342198871,-1.0,-2.1989348342198873,-0.20000000000000018,1.4699146663928766,0.20145285555383316,0.27826001631189995,0.40995909477370074,0.03347484821279268,0,0.8989766836166382,4,-10.993408149143725
15,10056,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,missed_bin,0,4,0.8021864295005798,0.20071412555900459,-1.0,-1.8142698744409955,-0.16666666666666652,1.8479241389259102,0.16312360746887347,0.4112059475191799,0.3745880713933041,0.03877367043822493,0,0.8021864295005798,5,-7.80955721398544
16,10057,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.9751248955726624,-0.2188159926890528,-1.0,-2.233799992689053,-0.20000000000000018,1.4353864477578033,0.20145285555383316,0.2748945422451421,0.4745361434261471,0.03996528171313572,0,0.9751248955726624,4,54.164768419810734
17,10058,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.08652012721598046,-1.0,-1.9284638727840195,-0.13333333333333341,1.7315650381834162,0.13211393790218154,0.5564733879336502,0.8892608304213935,0.09596958910202913,0,1.2245153784751892,6,59.09480372023337
18,10059,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,-0.034470670072107135,-1.0,-2.049454670072107,-0.1333333333333333,1.6109540786965608,0.1321139379021724,0.5975027053259488,1.239379923590706,0.13005163744745024,0,1.0945941805839539,6,59.09740214419121
19,10060,0,universal polystyrene tube,0,universal polystyrene tube,missed_bin,0,1,0.6963028907775879,0.1939193402231324,-1.0,-1.8210646597768676,-0.1333333333333333,1.8386701666073295,0.1321139379021724,0.5219932129329817,0.5678413564930261,0.06328793859587738,0,0.6963028907775879,6,-7.688236551498234
20,10061,0,universal polystyrene tube,0,universal polystyrene tube,missed_bin,0,1,0.770628035068512,0.15172022713787092,1.0,-1.8632637728621293,-0.1333333333333333,1.796582687061395,0.1321139379021724,0.5353043663331952,0.6962135289198997,0.07810443473288455,0,0.770628035068512,6,-7.250766242442062
