#{"t_start": 1785736643.2448115, "env_id": "None"}
r,l,t
37.940801,10,2.935802
-8.06301,5,3.07881
-12.273946,4,3.471753
-8.299767,6,3.628703
-9.847202,5,3.688974
58.675378,6,3.781222
-12.149526,4,3.851956
-12.349801,4,3.920812
-14.304143,3,4.172783
-14.500948,3,4.406633
28.214755,12,4.48488
-14.255227,3,4.658293
53.183077,4,4.909153
50.561001,3,5.072581
57.413096,5,5.197342
-15.366044,3,5.493211
-13.477149,3,5.574431
-14.502954,3,5.658341
52.411311,4,5.779201
-14.473952,3,6.050291
-14.506694,3,6.135591
-8.889606,6,6.271884
-14.492845,3,6.379716
-11.685919,4,6.661193
-14.46349,3,6.752482
-12.015991,4,6.838162
57.761251,7,7.038225
57.06679,5,7.111351
-14.674037,3,7.179452
-12.06419,4,7.245618
-5.926778,6,7.323458
-14.583037,3,7.607482
50.408569,8,7.87423
-13.80021,8,8.007154
44.969287,9,8.107839
55.343923,7,8.25435
-8.937638,5,8.541631
-14.721596,3,8.598465
56.34913,5,8.942967
57.322849,5,9.070246
31.059234,11,9.260045
-11.484373,4,9.318219
58.278779,6,9.425129
-14.504845,3,9.548276
51.514557,3,9.669638
-8.24323,6,10.210514
-13.495262,3,10.506928
-14.496791,3,10.717517
-13.485943,3,10.977504
56.924371,5,11.056932
-12.272134,4,11.164349
56.284382,5,11.285328
-15.518858,3,11.379753
-15.77277,8,11.453038
-14.609098,3,11.516723
-7.738653,5,11.765085
-7.237361,7,11.885137
50.492251,3,12.205547
-14.166167,3,12.628962
52.28577,4,12.715959
-13.625451,3,12.796704
-15.477423,3,13.049838
-13.482237,3,13.271315
-11.815206,4,13.678397
52.343792,4,14.028529
-13.48767,3,14.243459
53.360935,4,14.596682
-13.723538,3,14.669062
-9.959013,7,14.976832
-12.467439,4,15.048109
-14.524877,3,15.120824
-7.24457,7,15.200613
-13.476791,3,15.304947
53.389556,4,15.681324
-13.476791,3,15.996698
-15.297166,3,16.076323
-13.570713,3,16.261353
54.207992,4,16.504593
55.974295,5,16.714704
-14.339902,3,16.776255
-13.499186,3,16.852993
-11.192511,4,16.978119
-12.321292,4,17.072606
53.193952,4,17.289827
-14.259704,3,17.568613
