#{"t_start": 1785745432.8403468, "env_id": "None"}
r,l,t
-14.878251,3,3.586543
49.585209,3,4.196486
-12.623283,4,4.66115
-9.886468,5,4.763799
-15.286251,3,4.866343
-15.233172,3,4.938534
-15.474902,3,5.010696
-14.394791,3,5.265073
-15.286251,3,5.351181
-15.474902,3,5.413495
-15.437172,3,5.478404
-14.556902,3,5.539346
-15.182172,3,5.595267
50.044209,3,5.765028
-14.290712,3,5.851614
49.509749,3,6.223392
-14.417172,3,6.307138
-15.361712,3,6.387432
-15.259712,3,6.474589
52.584439,4,6.590308
-12.725283,4,6.939178
-13.142587,4,7.011007
-13.142587,4,7.08015
-15.219902,3,7.150581
-13.703172,3,7.217911
-15.184251,3,7.293373
-15.641172,3,7.372892
-15.219902,3,7.443822
-15.106712,3,7.534094
-14.215251,3,7.642865
-15.286251,3,7.712332
52.63544,4,8.078269
-15.219902,3,8.136057
-15.565712,3,8.25552
-12.885726,4,8.330291
-15.474902,3,8.408022
-15.565712,3,8.511393
-15.386172,3,8.586122
53.29844,4,8.801285
-15.388251,3,8.90631
-15.780902,3,8.982814
-15.106712,3,9.059554
-9.325468,5,9.168969
-15.474902,3,9.248853
-14.556902,3,9.323485
-15.219902,3,9.392562
-14.621172,3,9.45172
-14.723172,3,9.517534
-15.108791,3,9.819504
-14.621172,3,9.882344
-15.031251,3,10.00027
-13.089726,4,10.14081
52.274717,4,10.589448
-15.474902,3,10.652746
-15.576902,3,10.714368
-15.108791,3,10.977494
-14.760902,3,11.03762
-15.335172,3,11.107459
-15.208712,3,11.218688
-15.361712,3,11.320491
-15.286251,3,11.390479
-15.233172,3,11.462472
-14.215251,3,11.57296
-12.674283,4,11.842828
-15.182172,3,11.92243
-15.080172,3,11.98981
-13.140726,4,12.088268
-12.015004,4,12.207939
-15.576902,3,12.275723
-15.184251,3,12.380049
-15.286251,3,12.515619
-14.341712,3,12.614507
-15.286251,3,12.686411
-15.321902,3,12.754359
-15.182172,3,12.811715
52.070717,4,12.913032
-15.182172,3,12.985598
-15.388251,3,13.106385
-15.312791,3,13.18649
50.784749,3,13.56899
-14.443712,3,13.646285
-14.545712,3,13.777855
-15.463712,3,13.870402
-15.490251,3,13.938734
-12.368283,4,14.23615
-15.004712,3,14.297395
-12.530587,4,14.353474
-15.184251,3,14.442576
-15.474902,3,14.513945
-15.004712,3,14.57708
-14.647712,3,14.646452
-14.545712,3,14.742433
-15.233172,3,14.812623
-13.244587,4,14.88343
-15.233172,3,14.95559
-15.463712,3,15.015619
50.146209,3,15.279732
-15.388251,3,15.374838
52.682718,4,15.651133
-14.572251,3,15.774378
-15.133251,3,15.865557
-15.463712,3,16.001427
-15.743172,3,16.066078
-13.627712,3,16.166418
-10.991283,4,16.536087
-15.208712,3,16.605024
-14.572251,3,16.7993
-15.780902,3,16.870569
-15.106712,3,16.972801
-15.335172,3,17.029977
-15.182172,3,17.097592
56.197733,5,17.22442
-13.703172,3,17.285979
-15.372902,3,17.351284
-14.556902,3,17.428412
-15.055712,3,17.500756
-15.286251,3,17.598869
-14.290712,3,17.711271
-12.224587,4,17.78495
-15.335172,3,17.851593
-15.423902,3,17.934013
-12.885726,4,18.03377
-15.576902,3,18.116039
-15.131172,3,18.172825
-15.284172,3,18.226748
-15.031251,3,18.297847
-12.572282,4,18.6143
-13.740902,3,18.687922
-13.448587,4,18.76271
-15.565712,3,18.866277
-15.539172,3,18.925741
-15.539172,3,18.993961
-15.219902,3,19.049173
-15.210791,3,19.398949
-12.324726,4,19.503098
-13.703172,3,19.569205
49.942209,3,20.060714
-15.576902,3,20.142855
-15.219902,3,20.209273
-14.929251,3,20.395274
-15.082251,3,20.537225
-14.723172,3,20.621061
-15.208712,3,20.68569
-15.463712,3,20.767805
-14.647712,3,20.822443
-14.572251,3,20.940869
-14.658902,3,21.01561
-15.208712,3,21.09027
49.687209,3,21.534037
-15.310712,3,21.627491
-9.937468,5,21.740974
-15.082251,3,21.836266
-15.108791,3,21.987077
-15.361712,3,22.068654
-14.454902,3,22.15072
-15.286251,3,22.240372
-14.292791,3,22.729671
-15.388251,3,22.812518
-14.760902,3,22.876959
-15.539172,3,22.947282
49.789209,3,23.350785
-14.417172,3,23.408397
-14.556902,3,23.471008
-15.463712,3,23.586625
-14.417172,3,23.643197
-14.853791,3,23.723705
-15.066902,3,23.780142
-15.168902,3,23.840343
-15.219902,3,23.90193
-14.723172,3,23.958503
-13.344726,4,24.048753
-14.417172,3,24.113971
-15.031251,3,24.206039
-7.818147,5,24.495429
-14.760902,3,24.55739
-13.242726,4,24.636784
-15.233172,3,24.697
-15.437172,3,24.767135
-13.035004,4,24.990433
-14.341712,3,25.057122
-15.106712,3,25.162583
-12.069726,4,25.255967
-14.368251,3,25.325062
-14.723172,3,25.397694
-15.576902,3,25.492563
-14.723172,3,25.556697
-14.443712,3,25.619889
-15.286251,3,25.824007
-11.807283,4,25.893421
-15.157712,3,25.997378
-15.182172,3,26.066037
-11.199004,4,26.160847
-14.215251,3,26.263132
-15.310712,3,26.362775
-14.290712,3,26.430053
-15.474902,3,26.496908
-12.224587,4,26.5814
-15.388251,3,26.709029
-12.224587,4,26.776252
-13.703172,3,26.839351
-14.368251,3,26.909471
-15.474902,3,26.974154
-15.437172,3,27.049819
-15.210791,3,27.132538
-13.344726,4,27.287665
52.53344,4,27.447092
-15.208712,3,27.550397
-15.414791,3,27.781951
-14.953712,3,27.905443
-14.443712,3,27.976197
-14.953712,3,28.051604
-14.556902,3,28.124968
-11.862004,4,28.191195
-15.259712,3,28.308636
-14.394791,3,28.622546
-15.219902,3,28.691439
-9.654147,5,28.814086
-15.437172,3,28.88653
50.044209,3,29.058024
-15.080172,3,29.123768
-15.286251,3,29.209354
-14.190791,3,29.457129
-15.386172,3,29.514859
-15.057791,3,29.752501
-15.233172,3,29.826294
-15.474902,3,29.899454
-15.210791,3,30.254388
-14.647712,3,30.356049
-15.539172,3,30.42639
-15.414791,3,30.559048
-15.106712,3,30.626945
-14.621172,3,30.696229
-15.157712,3,30.797683
-14.290712,3,30.892922
-15.057791,3,31.340723
