#{"t_start": 1785871051.1098237, "env_id": "None"}
r,l,t
49.831938,5,2.065784
49.791801,5,2.235286
51.43377,7,2.383247
49.884886,5,2.661935
50.87075,7,2.817096
52.928898,6,3.095708
49.798751,5,3.217182
51.04368,7,3.492537
51.105015,7,3.648821
51.752513,6,3.890142
50.294016,5,4.012017
50.631033,5,4.2535
52.366879,6,4.469918
51.325352,6,4.611865
50.992102,7,4.826278
52.199112,6,4.962109
51.021802,6,5.057518
49.940172,5,5.248645
51.809977,6,5.393622
52.337681,6,5.531014
51.818935,6,5.681681
49.076672,5,5.881193
49.951468,5,6.047927
50.938546,6,6.181631
50.67641,5,6.286379
49.896114,5,6.496449
49.827283,5,6.66709
52.285093,6,6.946136
50.905869,6,7.072196
51.042366,7,7.327968
50.3007,5,7.583695
49.797404,5,7.816014
51.513417,7,8.01377
50.888628,6,8.143524
51.327087,6,8.321638
50.989986,6,8.41375
49.097118,5,8.651901
50.963893,7,8.898006
51.331875,6,9.118613
51.588655,6,9.259179
50.103536,5,9.430293
51.086183,7,9.67803
49.467101,5,9.801899
49.790228,5,9.95859
50.00118,5,10.05274
50.918375,6,10.168547
51.831145,6,10.313414
51.007008,7,10.561922
52.145331,6,10.778509
52.758778,6,10.992646
51.360052,6,11.12834
50.855901,6,11.256362
49.829352,5,11.491788
49.889073,5,11.598227
49.937756,5,11.72645
51.169818,6,11.906278
50.367175,5,12.157975
50.729263,7,12.310823
49.893521,5,12.563504
49.838573,5,12.688898
50.139902,5,12.785779
51.470076,6,13.015765
51.374545,6,13.237752
50.991257,6,13.371115
50.791451,5,13.65422
50.862207,7,13.937982
49.950208,5,14.170505
51.048529,6,14.269792
50.591472,5,14.393681
49.77183,5,14.561484
50.59907,5,14.670273
49.840762,5,14.764279
49.906504,5,15.000381
49.856752,5,15.246154
52.254999,6,15.383014
49.954364,5,15.544619
50.347773,5,15.722997
50.912131,7,15.97368
49.80916,5,16.141774
51.519053,7,16.29136
51.041799,6,16.384887
50.898009,6,16.518849
51.138178,7,16.669509
49.862727,5,16.907154
51.031621,6,17.038298
50.711484,5,17.168066
50.559047,5,17.36562
50.258404,5,17.541597
50.449953,5,17.636088
52.641454,6,17.856069
51.553541,7,18.103875
51.949451,6,18.249983
49.925339,5,18.489161
51.463071,7,18.65109
50.008131,5,18.848355
50.269759,5,19.046529
49.817993,5,19.144196
50.057526,5,19.267562
50.279409,5,19.401961
50.923301,6,19.530651
51.109908,7,19.682743
50.94596,6,19.822589
51.548054,7,20.085314
50.050713,5,20.297817
51.223136,7,20.558512
50.65349,7,20.831658
50.914775,6,20.966182
50.073248,5,21.161449
49.830096,5,21.286872
52.225317,6,21.437887
49.838966,5,21.606724
51.613502,6,21.75882
51.577165,7,22.019269
51.249555,6,22.171847
49.817791,5,22.335192
50.539963,5,22.521865
50.879717,7,22.676369
49.769794,5,22.938453
51.585909,6,23.156738
50.084792,5,23.345034
50.178542,5,23.531164
50.964168,7,23.770153
50.362138,5,23.869891
51.335352,7,24.035134
51.616513,7,24.301084
50.240094,5,24.544404
50.900665,7,24.797182
50.090689,5,24.89985
49.894209,5,25.137183
49.835997,5,25.236983
