epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6741,0.89072,2.57617,0.9012,0.62187,0.44397,0.60964,0.5441,0.50446,2.28401,0.80177,0.000366394,0.000366394,0.000366394
2,53.172,0.65834,1.34425,0.85636,0.68931,0.90576,0.83185,0.73915,0.51773,1.16814,0.84289,0.000700259,0.000700259,0.000700259
3,77.8984,0.62525,1.04346,0.85214,0.78485,0.94933,0.87805,0.79581,0.43773,0.85617,0.81218,0.000997461,0.000997461,0.000997461
4,102.436,0.6004,0.9199,0.85319,0.94658,0.89785,0.99433,0.87943,0.50193,0.83075,0.83776,0.000946016,0.000946016,0.000946016
5,127.668,0.55281,0.7966,0.84987,0.98716,0.99797,0.995,0.92043,0.40186,0.59475,0.80966,0.000891022,0.000891022,0.000891022
6,151.908,0.49605,0.69993,0.83655,0.99485,0.99863,0.995,0.94592,0.35189,0.58424,0.80062,0.000836027,0.000836027,0.000836027
7,176.541,0.49281,0.68478,0.83648,0.99818,0.99994,0.995,0.9291,0.37075,0.52901,0.79721,0.000781033,0.000781033,0.000781033
8,201.068,0.48408,0.65096,0.83444,0.99829,0.99752,0.995,0.95025,0.32686,0.49436,0.79698,0.000726038,0.000726038,0.000726038
9,225.958,0.42242,0.59873,0.82615,0.99678,0.99974,0.995,0.95963,0.30088,0.45891,0.78764,0.000671044,0.000671044,0.000671044
10,250.627,0.43783,0.59859,0.82195,0.99841,1,0.995,0.96173,0.30416,0.499,0.78022,0.000616049,0.000616049,0.000616049
11,274.302,0.38383,0.49971,0.8035,0.99829,0.99783,0.995,0.97375,0.27179,0.41611,0.78187,0.000561055,0.000561055,0.000561055
12,298.802,0.34002,0.45532,0.80003,0.99874,0.99845,0.995,0.97082,0.27532,0.41562,0.78928,0.00050606,0.00050606,0.00050606
13,323.038,0.32869,0.42891,0.80016,0.99869,0.99799,0.995,0.97891,0.25424,0.37985,0.78033,0.000451066,0.000451066,0.000451066
14,347.189,0.31082,0.40717,0.79397,0.99887,1,0.995,0.96516,0.26921,0.37635,0.77698,0.000396071,0.000396071,0.000396071
15,370.772,0.29408,0.38817,0.79015,0.99902,1,0.995,0.98507,0.20829,0.33706,0.77249,0.000341077,0.000341077,0.000341077
16,394.437,0.26883,0.36649,0.79005,0.99897,1,0.995,0.98512,0.21612,0.33173,0.77716,0.000286083,0.000286083,0.000286083
17,417.901,0.26485,0.35896,0.793,0.99911,1,0.995,0.98604,0.19801,0.31492,0.77083,0.000231088,0.000231088,0.000231088
18,442.025,0.25668,0.34556,0.7846,0.99891,1,0.995,0.98891,0.1919,0.29961,0.77101,0.000176094,0.000176094,0.000176094
19,466.264,0.2435,0.33553,0.77964,0.99906,1,0.995,0.98924,0.18473,0.29711,0.77,0.000121099,0.000121099,0.000121099
20,490.273,0.23776,0.33024,0.78723,0.99906,1,0.995,0.98901,0.17868,0.28736,0.76863,6.61045e-05,6.61045e-05,6.61045e-05
