epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1469,0.67892,0.68036,0.86356,0.98844,0.99895,0.995,0.89767,0.464,0.45051,0.82131,0.000360588,0.000360588,0.000360588
2,22.8048,0.59813,0.67343,0.84728,0.99604,1,0.995,0.9037,0.43652,0.44509,0.83626,0.00067062,0.00067062,0.00067062
3,32.9985,0.56581,0.55731,0.82802,0.99249,1,0.995,0.89136,0.48394,0.46484,0.83559,0.000919547,0.000919547,0.000919547
4,43.4829,0.5427,0.54466,0.82339,0.98392,1,0.995,0.89543,0.46601,0.48352,0.84278,0.000836027,0.000836027,0.000836027
5,53.7705,0.52105,0.50547,0.8261,0.99468,1,0.995,0.91409,0.43504,0.46308,0.83366,0.00074437,0.00074437,0.00074437
6,64.1446,0.49466,0.48995,0.82105,0.98618,0.99863,0.995,0.90173,0.44425,0.46713,0.83085,0.000652712,0.000652712,0.000652712
7,74.7426,0.48658,0.47991,0.82592,0.99653,1,0.995,0.91817,0.43895,0.41781,0.83741,0.000561055,0.000561055,0.000561055
8,84.9707,0.48368,0.47275,0.8259,0.99535,0.99529,0.995,0.91173,0.44736,0.41565,0.83107,0.000469397,0.000469397,0.000469397
9,95.0673,0.47384,0.45901,0.81742,0.99669,0.99568,0.995,0.92032,0.39879,0.39781,0.82077,0.00037774,0.00037774,0.00037774
10,105.274,0.44705,0.42728,0.8131,0.99644,1,0.995,0.93177,0.37425,0.38758,0.81997,0.000286083,0.000286083,0.000286083
11,115.341,0.41963,0.41839,0.80987,0.99674,1,0.995,0.9311,0.36021,0.36252,0.81843,0.000194425,0.000194425,0.000194425
12,125.596,0.41576,0.39633,0.80666,0.9977,1,0.995,0.93349,0.36761,0.35565,0.8175,0.000102768,0.000102768,0.000102768
